TOKEN	[CLS]	I	heard	from	none	of	the	representatives	from	the	power	generation	sector	.	[SEP]
[CLS]	0.055551	0.090521	0.262340	0.110483	0.035160	0.027054	0.108949	0.054828	0.064373	0.045331	0.009614	0.016506	0.027551	0.051300	0.040441
I	0.018141	0.010154	0.024911	0.023725	0.003430	0.001347	0.011544	0.009831	0.006660	0.009182	0.009093	0.006407	0.004411	0.042597	0.818567
heard	0.021172	0.009737	0.052768	0.027252	0.005064	0.000989	0.007659	0.006629	0.005968	0.008974	0.009378	0.007464	0.007221	0.037778	0.791947
from	0.005428	0.004230	0.015529	0.021199	0.003361	0.002069	0.008333	0.011148	0.013076	0.007079	0.006832	0.005590	0.007655	0.019752	0.868718
none	0.004312	0.003113	0.011868	0.013873	0.002631	0.001281	0.004047	0.007798	0.009848	0.006204	0.007951	0.005730	0.006411	0.019897	0.895035
of	0.003785	0.000847	0.006115	0.011342	0.001502	0.000837	0.001939	0.009889	0.006203	0.005740	0.017331	0.009706	0.009610	0.011545	0.903608
the	0.007143	0.002672	0.010559	0.020109	0.001257	0.001066	0.005755	0.014295	0.007101	0.009497	0.027879	0.014864	0.015227	0.016082	0.846492
representatives	0.005033	0.002133	0.006662	0.008024	0.001638	0.001101	0.002979	0.011756	0.005974	0.004764	0.018568	0.014404	0.010818	0.011571	0.894576
from	0.004828	0.002521	0.009734	0.011607	0.001524	0.000837	0.002650	0.006351	0.006052	0.003672	0.014082	0.011688	0.007148	0.011352	0.905954
the	0.005440	0.001890	0.006199	0.007662	0.001602	0.001219	0.004348	0.010869	0.004483	0.008291	0.043275	0.026604	0.016086	0.012612	0.849419
power	0.004360	0.002085	0.003937	0.003845	0.001792	0.000553	0.002501	0.010129	0.002345	0.008073	0.039823	0.027476	0.013685	0.013550	0.865846
generation	0.003100	0.001245	0.001863	0.001715	0.000986	0.000291	0.001428	0.006300	0.001759	0.005603	0.013116	0.011166	0.007258	0.009332	0.934839
sector	0.006080	0.001852	0.007308	0.007057	0.002062	0.001228	0.003873	0.015048	0.004839	0.006613	0.027465	0.016300	0.013590	0.012848	0.873837
.	0.015997	0.017132	0.027008	0.018847	0.005987	0.003768	0.012695	0.022246	0.012591	0.014422	0.022261	0.015435	0.017839	0.030168	0.763604
[SEP]	0.048952	0.078565	0.060545	0.053978	0.064993	0.053941	0.071856	0.073503	0.069044	0.072850	0.056815	0.057742	0.057357	0.070493	0.109369
