TOKEN	[CLS]	I	heard	from	none	of	the	representatives	from	the	power	generation	sector	.	[SEP]
[CLS]	0.099004	0.032141	0.075769	0.011120	0.008056	0.001656	0.008378	0.001821	0.003307	0.008643	0.000175	0.000312	0.001543	0.042120	0.705954
I	0.083333	0.074275	0.128571	0.038999	0.051391	0.006491	0.017315	0.003930	0.011550	0.023419	0.000878	0.002233	0.011678	0.161016	0.384920
heard	0.116404	0.045690	0.170272	0.143300	0.020575	0.008447	0.008892	0.001526	0.012385	0.003958	0.000167	0.000219	0.000336	0.054871	0.412958
from	0.096301	0.024863	0.119216	0.128246	0.040780	0.017983	0.027353	0.003435	0.033296	0.007337	0.000232	0.000450	0.001400	0.068987	0.430123
none	0.054731	0.001700	0.002175	0.001107	0.007398	0.001449	0.004685	0.005050	0.006319	0.008320	0.000053	0.000043	0.001160	0.037793	0.868018
of	0.081172	0.004041	0.005611	0.012371	0.036603	0.021576	0.029907	0.025647	0.114313	0.029889	0.000813	0.000715	0.004542	0.068151	0.564648
the	0.058107	0.003647	0.003592	0.006213	0.056742	0.024206	0.041269	0.022130	0.059903	0.046493	0.000612	0.000990	0.012749	0.060531	0.602816
representatives	0.040390	0.002179	0.006181	0.005629	0.020608	0.010979	0.021387	0.012875	0.024556	0.009912	0.000097	0.000071	0.000937	0.020987	0.823211
from	0.016837	0.002318	0.008569	0.008451	0.021347	0.009973	0.020687	0.021956	0.042411	0.014732	0.000677	0.000506	0.003975	0.030757	0.796805
the	0.017980	0.002783	0.002446	0.003188	0.027147	0.012956	0.026706	0.030372	0.028353	0.051770	0.001574	0.003131	0.029440	0.024855	0.737299
power	0.008650	0.000459	0.000240	0.001078	0.001103	0.000789	0.002560	0.001732	0.007311	0.007105	0.003942	0.007857	0.010564	0.004360	0.942252
generation	0.010228	0.000356	0.000216	0.001017	0.003129	0.001465	0.008125	0.005166	0.010866	0.018995	0.015767	0.029871	0.044274	0.005801	0.844723
sector	0.007701	0.001090	0.000823	0.000307	0.010388	0.002130	0.012031	0.080724	0.007146	0.029680	0.000722	0.001279	0.021104	0.006542	0.818332
.	0.124924	0.076212	0.191286	0.079684	0.040540	0.008147	0.030138	0.007660	0.012590	0.017237	0.000443	0.000795	0.002938	0.084181	0.323224
[SEP]	0.014500	0.002696	0.000981	0.000687	0.001354	0.000943	0.000903	0.001186	0.001554	0.001648	0.001544	0.005241	0.005132	0.005858	0.955774
