TOKEN	[CLS]	A	person	on	a	horse	jumps	over	a	broken	down	airplane	.	[SEP]
[CLS]	0.091028	0.082174	0.065682	0.075277	0.067137	0.089222	0.076541	0.054646	0.062740	0.061947	0.074523	0.073654	0.060759	0.064670
A	0.093462	0.095829	0.075146	0.088803	0.058847	0.091082	0.074612	0.052167	0.046035	0.063526	0.079327	0.072950	0.055808	0.052405
person	0.070083	0.082988	0.066386	0.072412	0.062239	0.089651	0.075355	0.054497	0.064421	0.066322	0.090602	0.080734	0.071611	0.052699
on	0.090152	0.092525	0.069551	0.073288	0.056291	0.080674	0.077394	0.054616	0.042375	0.079536	0.073447	0.071395	0.077561	0.061194
a	0.086224	0.085163	0.086201	0.071527	0.058670	0.075865	0.079069	0.055762	0.054132	0.064567	0.082583	0.073495	0.061253	0.065489
horse	0.096541	0.076072	0.081964	0.075710	0.070118	0.081705	0.057322	0.050526	0.054662	0.070388	0.085070	0.061647	0.075176	0.063100
jumps	0.091090	0.082887	0.076591	0.062920	0.059411	0.102026	0.061013	0.035538	0.064828	0.068756	0.105319	0.075884	0.056692	0.057044
over	0.092724	0.073913	0.072951	0.064280	0.065788	0.068149	0.103530	0.053412	0.063486	0.080372	0.067150	0.069913	0.065949	0.058384
a	0.090195	0.082646	0.071306	0.055060	0.055567	0.066453	0.080626	0.067255	0.052478	0.083765	0.075346	0.078263	0.064796	0.076247
broken	0.075650	0.087330	0.055479	0.080523	0.055531	0.073789	0.091023	0.071409	0.050075	0.071201	0.075176	0.085609	0.064592	0.062613
down	0.085517	0.088230	0.054039	0.070157	0.066321	0.084734	0.084730	0.049157	0.043051	0.098038	0.068790	0.063499	0.073531	0.070208
airplane	0.074455	0.090081	0.072385	0.064083	0.068311	0.077504	0.075392	0.046591	0.050416	0.069720	0.091782	0.095594	0.066882	0.056804
.	0.077275	0.088134	0.062055	0.082936	0.060056	0.081834	0.088634	0.053106	0.049626	0.092117	0.074280	0.078187	0.058566	0.053194
[SEP]	0.106026	0.074812	0.077005	0.056644	0.065867	0.103732	0.074289	0.046344	0.052790	0.059052	0.070212	0.066093	0.063735	0.083399
