TOKEN	[CLS]	A	person	on	a	horse	jumps	over	a	broken	down	airplane	.	[SEP]
[CLS]	0.071585	0.069326	0.074466	0.059505	0.095895	0.059389	0.051412	0.070430	0.113862	0.052518	0.066210	0.074043	0.050327	0.091032
A	0.064385	0.054785	0.069456	0.047619	0.092812	0.073477	0.059557	0.072180	0.077675	0.077188	0.074175	0.086757	0.069985	0.079949
person	0.068236	0.046240	0.072299	0.073764	0.090747	0.063313	0.052976	0.064397	0.102319	0.053795	0.072850	0.101282	0.053734	0.084046
on	0.066753	0.055615	0.105318	0.065644	0.089557	0.049612	0.069775	0.054302	0.090225	0.076185	0.051394	0.097036	0.065671	0.062914
a	0.070125	0.067278	0.074708	0.071168	0.087030	0.066097	0.060097	0.059800	0.093128	0.051614	0.068477	0.094774	0.050611	0.085092
horse	0.042889	0.067663	0.079421	0.055969	0.064962	0.079452	0.071301	0.062786	0.062003	0.078765	0.090073	0.096100	0.075324	0.073292
jumps	0.074049	0.064603	0.060248	0.068558	0.077327	0.062909	0.075304	0.063213	0.079401	0.069870	0.067511	0.085974	0.071890	0.079144
over	0.066179	0.066621	0.066485	0.089313	0.067420	0.058220	0.069341	0.061108	0.087780	0.066859	0.062481	0.087135	0.062240	0.088818
a	0.068786	0.056704	0.077264	0.071671	0.080964	0.051919	0.077912	0.065060	0.094875	0.055308	0.058288	0.119438	0.049116	0.072693
broken	0.051754	0.066205	0.065010	0.055921	0.085927	0.058310	0.055543	0.080055	0.099966	0.043190	0.080481	0.111998	0.075273	0.070367
down	0.056583	0.067440	0.065316	0.087035	0.066343	0.045730	0.079812	0.063578	0.088445	0.049003	0.084441	0.104187	0.069236	0.072852
airplane	0.071089	0.063217	0.045638	0.076828	0.058591	0.072844	0.082706	0.075099	0.096658	0.045526	0.087518	0.083658	0.049671	0.090958
.	0.065346	0.083938	0.075488	0.073561	0.077913	0.050865	0.065759	0.074204	0.074585	0.065809	0.061149	0.085619	0.062927	0.082838
[SEP]	0.072975	0.063621	0.062925	0.071177	0.074153	0.051934	0.061025	0.076123	0.110431	0.052817	0.062982	0.099938	0.071619	0.068279
