TOKEN	[CLS]	A	person	on	a	horse	jumps	over	a	broken	down	airplane	.	[SEP]
[CLS]	0.049794	0.078656	0.103372	0.055136	0.055246	0.066155	0.085409	0.082053	0.068364	0.082808	0.099428	0.048433	0.065454	0.059690
A	0.064201	0.084710	0.096855	0.054241	0.040347	0.070317	0.082589	0.102405	0.061617	0.077506	0.068917	0.060194	0.075980	0.060122
person	0.056801	0.093873	0.090871	0.054611	0.049808	0.093353	0.068812	0.085046	0.066430	0.055833	0.078818	0.075560	0.077737	0.052447
on	0.056194	0.057810	0.095770	0.049964	0.048719	0.068412	0.097322	0.091999	0.071848	0.070053	0.067109	0.077872	0.096534	0.050396
a	0.040199	0.072804	0.071509	0.055655	0.054692	0.090297	0.061450	0.124437	0.060442	0.074211	0.071509	0.079916	0.076119	0.066759
horse	0.044283	0.063115	0.106472	0.073475	0.044870	0.094201	0.079769	0.077120	0.070473	0.057061	0.075907	0.087419	0.059187	0.066648
jumps	0.054929	0.071221	0.092361	0.055994	0.062767	0.091715	0.075110	0.061286	0.078218	0.071086	0.101995	0.052710	0.065796	0.064813
over	0.060001	0.090886	0.078268	0.045214	0.048734	0.076096	0.068691	0.104232	0.072364	0.087117	0.094739	0.055382	0.067295	0.050981
a	0.051133	0.086376	0.059806	0.063096	0.057326	0.087374	0.077758	0.088190	0.070069	0.072189	0.082158	0.068045	0.064414	0.072066
broken	0.050977	0.110794	0.067809	0.057495	0.059674	0.084825	0.056494	0.075155	0.067134	0.078022	0.075458	0.073388	0.072919	0.069856
down	0.056087	0.072100	0.079163	0.055037	0.045188	0.075089	0.059342	0.069395	0.068901	0.094460	0.093671	0.051637	0.070820	0.109110
airplane	0.060889	0.081402	0.074124	0.060114	0.051731	0.078803	0.049179	0.078109	0.075420	0.068055	0.097165	0.068885	0.086987	0.069137
.	0.049706	0.060740	0.101890	0.049432	0.041583	0.082947	0.079241	0.098747	0.057526	0.074964	0.100433	0.050848	0.085288	0.066655
[SEP]	0.052465	0.059864	0.096756	0.059391	0.068433	0.069709	0.081046	0.066944	0.072346	0.069938	0.070459	0.060701	0.088670	0.083279
