TOKEN	[CLS]	A	person	on	a	horse	jumps	over	a	broken	down	airplane	.	[SEP]
[CLS]	0.065727	0.067836	0.075203	0.090868	0.071099	0.099823	0.102399	0.060530	0.076043	0.057883	0.057979	0.053907	0.046790	0.073912
A	0.053502	0.081197	0.072256	0.072401	0.081445	0.076895	0.098546	0.068539	0.093281	0.071301	0.047743	0.062587	0.056027	0.064280
person	0.056132	0.064965	0.096197	0.177337	0.069813	0.069100	0.077512	0.043586	0.059132	0.074988	0.045194	0.051532	0.053625	0.060889
on	0.090232	0.059637	0.079648	0.059924	0.049392	0.080661	0.093214	0.063900	0.053772	0.098708	0.073798	0.056861	0.080666	0.059588
a	0.069423	0.072345	0.083149	0.108971	0.067887	0.052666	0.067772	0.047042	0.101356	0.080787	0.079574	0.049414	0.036825	0.082789
horse	0.077069	0.084947	0.065167	0.060242	0.057669	0.121296	0.094137	0.067087	0.077008	0.072827	0.052870	0.054974	0.059601	0.055105
jumps	0.085050	0.064672	0.063711	0.085055	0.065156	0.096313	0.071741	0.051159	0.076655	0.079075	0.047261	0.061660	0.067717	0.084774
over	0.064597	0.081634	0.079076	0.064255	0.080537	0.067560	0.086785	0.057827	0.088558	0.080154	0.062292	0.063548	0.051513	0.071665
a	0.052852	0.069049	0.071615	0.139634	0.087423	0.057387	0.056232	0.047116	0.098417	0.084488	0.063861	0.048070	0.038174	0.085681
broken	0.060384	0.046784	0.094754	0.127411	0.060820	0.062200	0.073474	0.058957	0.076370	0.069318	0.088152	0.063857	0.054835	0.062683
down	0.048534	0.062580	0.077062	0.124416	0.074828	0.071105	0.068262	0.057467	0.077903	0.062964	0.073986	0.052443	0.040207	0.108242
airplane	0.061162	0.074770	0.099069	0.095034	0.053313	0.070652	0.098651	0.050141	0.064788	0.067320	0.064032	0.070824	0.056342	0.073901
.	0.054859	0.059913	0.074286	0.099256	0.053463	0.066281	0.104189	0.086703	0.070466	0.076136	0.076155	0.068122	0.050126	0.060045
[SEP]	0.075994	0.055822	0.065859	0.115193	0.063151	0.074837	0.083827	0.053946	0.068165	0.087373	0.061052	0.066028	0.055106	0.073646
