TOKEN	[CLS]	A	person	on	a	horse	jumps	over	a	broken	down	airplane	.	[SEP]
[CLS]	0.082551	0.111082	0.075883	0.075977	0.060459	0.086585	0.087486	0.054877	0.044885	0.078608	0.065668	0.043587	0.074515	0.057837
A	0.089282	0.082095	0.078246	0.064555	0.068003	0.080886	0.083213	0.060589	0.052882	0.074741	0.076219	0.054168	0.066043	0.069078
person	0.071245	0.105687	0.061621	0.120377	0.059386	0.076736	0.087068	0.084818	0.047445	0.041899	0.064079	0.044356	0.081661	0.053622
on	0.093861	0.107149	0.071063	0.087467	0.051775	0.083649	0.086840	0.057952	0.046948	0.061508	0.064696	0.039785	0.083691	0.063616
a	0.057259	0.082790	0.069128	0.076695	0.056892	0.089538	0.077011	0.096173	0.056840	0.054291	0.061303	0.044719	0.110302	0.067058
horse	0.088147	0.081360	0.074813	0.072045	0.064609	0.077962	0.061096	0.083682	0.047954	0.060674	0.074684	0.049591	0.087117	0.076266
jumps	0.059932	0.109318	0.056505	0.069203	0.055317	0.083237	0.065218	0.086616	0.059162	0.065141	0.091273	0.068132	0.078720	0.052226
over	0.061798	0.069241	0.075579	0.059226	0.068265	0.078017	0.060266	0.097478	0.069409	0.063607	0.068695	0.055473	0.088936	0.084010
a	0.071828	0.095227	0.076475	0.075187	0.064848	0.091702	0.089975	0.076113	0.064985	0.056167	0.065165	0.040288	0.075116	0.056923
broken	0.065564	0.114579	0.059501	0.081959	0.058089	0.068584	0.090354	0.078107	0.044287	0.065219	0.074182	0.052900	0.078426	0.068249
down	0.116763	0.079637	0.063879	0.062622	0.062306	0.074512	0.070865	0.063111	0.052498	0.085442	0.081008	0.038891	0.077510	0.070956
airplane	0.078995	0.078863	0.085365	0.057149	0.063632	0.109204	0.052656	0.057522	0.044374	0.101550	0.059428	0.038476	0.108660	0.064127
.	0.068843	0.106449	0.082236	0.076759	0.070932	0.063453	0.071561	0.065766	0.054445	0.064193	0.081289	0.051490	0.079525	0.063058
[SEP]	0.085859	0.082811	0.073835	0.073424	0.076260	0.077725	0.084832	0.061687	0.051756	0.076847	0.052857	0.039551	0.090840	0.071714
