TOKEN	[CLS]	A	person	on	a	horse	jumps	over	a	broken	down	airplane	.	[SEP]
[CLS]	0.073664	0.065775	0.065674	0.077199	0.098026	0.074069	0.061041	0.069577	0.066921	0.070195	0.086866	0.054900	0.059771	0.076322
A	0.062206	0.074642	0.063958	0.079061	0.083358	0.074554	0.046990	0.061316	0.080551	0.074172	0.065750	0.066124	0.082503	0.084817
person	0.117110	0.088715	0.047981	0.059910	0.052385	0.077747	0.065428	0.083433	0.048269	0.078382	0.046149	0.053401	0.091816	0.089274
on	0.055998	0.070613	0.042403	0.081595	0.053353	0.092756	0.054115	0.088185	0.072421	0.063371	0.079528	0.065874	0.092173	0.087615
a	0.063456	0.093791	0.051518	0.065666	0.072653	0.067621	0.057696	0.056356	0.059867	0.094796	0.063837	0.063888	0.094822	0.094034
horse	0.077005	0.080629	0.056020	0.079670	0.045455	0.076605	0.073902	0.071541	0.051723	0.064720	0.065637	0.052442	0.102619	0.102032
jumps	0.058421	0.083364	0.049090	0.059541	0.069089	0.094403	0.062700	0.075326	0.070699	0.068852	0.066785	0.052737	0.107819	0.081172
over	0.056728	0.085025	0.037181	0.090667	0.078923	0.077119	0.058059	0.096560	0.066406	0.062304	0.083520	0.053880	0.082120	0.071510
a	0.071333	0.083142	0.060346	0.073599	0.065748	0.075443	0.072332	0.064121	0.065223	0.073713	0.073907	0.044691	0.083375	0.093027
broken	0.072198	0.079972	0.050311	0.068968	0.067502	0.093101	0.064252	0.061472	0.070874	0.077554	0.062934	0.062739	0.085146	0.082979
down	0.066565	0.080045	0.058003	0.073015	0.066144	0.077614	0.048351	0.066404	0.066642	0.080694	0.078685	0.053157	0.103306	0.081374
airplane	0.068074	0.079067	0.047378	0.082168	0.091207	0.067507	0.068464	0.075498	0.077535	0.080257	0.069436	0.055523	0.050955	0.086929
.	0.072205	0.075166	0.062413	0.065035	0.068895	0.072913	0.066366	0.072155	0.054081	0.087273	0.073825	0.065725	0.076630	0.087320
[SEP]	0.082360	0.089468	0.045588	0.095667	0.041005	0.092288	0.063248	0.070366	0.040508	0.061294	0.071758	0.053070	0.120725	0.072654
