TOKEN	[CLS]	A	person	on	a	horse	jumps	over	a	broken	down	airplane	.	[SEP]
[CLS]	0.086579	0.066917	0.052211	0.059620	0.061638	0.091543	0.097592	0.053035	0.064120	0.083768	0.046911	0.070010	0.094148	0.071908
A	0.077879	0.072756	0.065223	0.066460	0.050575	0.082622	0.086538	0.059203	0.055378	0.075621	0.081548	0.076166	0.081531	0.068498
person	0.117544	0.074888	0.101679	0.041622	0.072075	0.076183	0.057233	0.059806	0.072158	0.084171	0.069285	0.049601	0.066958	0.056796
on	0.059582	0.082252	0.063702	0.060326	0.074099	0.078036	0.073590	0.057689	0.079800	0.071527	0.058587	0.073734	0.082292	0.084784
a	0.052990	0.079660	0.083725	0.058861	0.087474	0.079298	0.059675	0.064637	0.085804	0.054590	0.074875	0.094916	0.054244	0.069250
horse	0.067134	0.109411	0.053618	0.101667	0.052005	0.068454	0.072362	0.064629	0.069063	0.058675	0.060237	0.073280	0.087082	0.062383
jumps	0.076157	0.061099	0.065845	0.063339	0.057402	0.083038	0.072484	0.078777	0.060189	0.065822	0.070882	0.066540	0.100716	0.077708
over	0.081361	0.075849	0.064994	0.064234	0.077672	0.077660	0.067956	0.058302	0.064416	0.081151	0.050054	0.084192	0.086717	0.065441
a	0.062785	0.063677	0.055291	0.072259	0.107850	0.068198	0.068988	0.060888	0.107416	0.063809	0.076628	0.057645	0.052578	0.081987
broken	0.078294	0.080355	0.073546	0.052535	0.082766	0.073917	0.063342	0.045788	0.051670	0.095469	0.050169	0.100071	0.080854	0.071223
down	0.080683	0.094011	0.097656	0.057397	0.058401	0.081289	0.059831	0.066241	0.052563	0.082403	0.049222	0.075811	0.074225	0.070267
airplane	0.070130	0.090105	0.089366	0.055600	0.051213	0.103476	0.059196	0.056159	0.061056	0.085225	0.052438	0.087918	0.065809	0.072309
.	0.068188	0.075814	0.055308	0.063705	0.060349	0.099061	0.075503	0.074431	0.070963	0.084121	0.061856	0.050527	0.088907	0.071267
[SEP]	0.054982	0.093504	0.075925	0.088541	0.066059	0.062393	0.052177	0.059797	0.061350	0.083189	0.067632	0.080055	0.085854	0.068541
