TOKEN	[CLS]	A	person	on	a	horse	jumps	over	a	broken	down	airplane	.	[SEP]
[CLS]	0.062679	0.040376	0.077946	0.048799	0.075178	0.076303	0.103014	0.066667	0.083436	0.077518	0.082300	0.055247	0.065289	0.085249
A	0.085136	0.055533	0.071060	0.042145	0.069690	0.083183	0.070169	0.070733	0.061894	0.064208	0.095892	0.086012	0.067507	0.076837
person	0.047977	0.064029	0.089566	0.052363	0.063436	0.077061	0.106780	0.069223	0.058452	0.070407	0.083805	0.096725	0.055221	0.064955
on	0.067598	0.043016	0.065655	0.033591	0.091426	0.072188	0.096154	0.076436	0.090432	0.071255	0.083376	0.087697	0.050447	0.070728
a	0.046012	0.061936	0.061028	0.048320	0.069302	0.081748	0.097636	0.067998	0.080181	0.082246	0.078295	0.096477	0.051851	0.076971
horse	0.060808	0.049438	0.059340	0.054132	0.091717	0.069990	0.094150	0.068003	0.074740	0.080337	0.067848	0.086024	0.079217	0.064257
jumps	0.056643	0.062440	0.064751	0.055994	0.057967	0.083104	0.108825	0.062090	0.078596	0.090032	0.060251	0.081990	0.062914	0.074404
over	0.053231	0.058132	0.089400	0.042625	0.080738	0.062455	0.098300	0.067863	0.078301	0.091804	0.045242	0.096262	0.069745	0.065901
a	0.057552	0.063956	0.060090	0.045371	0.060811	0.070628	0.107867	0.054843	0.067459	0.092930	0.099081	0.081773	0.053104	0.084533
broken	0.053947	0.050477	0.069781	0.027442	0.060567	0.103297	0.083801	0.074477	0.067501	0.081408	0.087092	0.091215	0.074126	0.074868
down	0.075650	0.082034	0.055370	0.046696	0.062963	0.077917	0.086319	0.071729	0.073894	0.068639	0.085474	0.057290	0.065329	0.090693
airplane	0.067057	0.043407	0.073141	0.053887	0.090857	0.060073	0.068330	0.057097	0.089051	0.086737	0.065146	0.096901	0.066423	0.081895
.	0.064386	0.046075	0.084298	0.044693	0.073669	0.069445	0.084676	0.067659	0.070722	0.080950	0.066793	0.075929	0.087246	0.083459
[SEP]	0.059574	0.074240	0.072850	0.040203	0.080604	0.063045	0.069107	0.061846	0.092366	0.073097	0.094323	0.062052	0.069184	0.087508
