TOKEN	[CLS]	A	person	on	a	horse	jumps	over	a	broken	down	airplane	.	[SEP]
[CLS]	0.054427	0.058033	0.075476	0.068609	0.063432	0.069690	0.071308	0.092978	0.065060	0.058940	0.064285	0.096054	0.095225	0.066483
A	0.065597	0.098331	0.073696	0.062967	0.060725	0.085462	0.070017	0.064461	0.086274	0.053072	0.070228	0.073928	0.075303	0.059939
person	0.073638	0.059824	0.074866	0.065639	0.077433	0.104799	0.074123	0.076792	0.067453	0.051333	0.055608	0.077939	0.084394	0.056159
on	0.052124	0.085783	0.074667	0.075190	0.067803	0.077493	0.082803	0.065712	0.053714	0.068735	0.056618	0.077407	0.116008	0.045941
a	0.048565	0.076461	0.071639	0.072511	0.065949	0.111874	0.074811	0.066621	0.057674	0.062273	0.066538	0.080161	0.077885	0.067038
horse	0.052738	0.090247	0.080199	0.048945	0.086896	0.081130	0.063513	0.060732	0.085744	0.056564	0.074481	0.061476	0.071260	0.086076
jumps	0.075798	0.085521	0.071341	0.066659	0.073211	0.078790	0.094148	0.064731	0.074356	0.064778	0.047780	0.072430	0.075360	0.055097
over	0.069325	0.072180	0.065824	0.062112	0.056313	0.079381	0.089134	0.071734	0.076837	0.053669	0.064931	0.065617	0.113925	0.059018
a	0.047640	0.102316	0.082386	0.078375	0.061635	0.096882	0.062965	0.067141	0.059879	0.051877	0.056134	0.067929	0.118949	0.045891
broken	0.046418	0.060340	0.076011	0.074460	0.071987	0.094074	0.086162	0.080908	0.064689	0.068418	0.050285	0.093083	0.079255	0.053910
down	0.048972	0.059759	0.066504	0.075602	0.089292	0.089701	0.076262	0.072321	0.095428	0.062080	0.061429	0.052350	0.083952	0.066347
airplane	0.058910	0.097644	0.085678	0.053784	0.063998	0.082075	0.089411	0.057118	0.053678	0.051968	0.056822	0.076271	0.114027	0.058615
.	0.064592	0.066739	0.076578	0.061499	0.077182	0.049890	0.068572	0.105476	0.104295	0.063243	0.062993	0.075074	0.067627	0.056240
[SEP]	0.043254	0.058353	0.065059	0.087813	0.081425	0.083387	0.090785	0.070214	0.079264	0.067187	0.068665	0.079357	0.077399	0.047837
