TOKEN	[CLS]	A	person	on	a	horse	jumps	over	a	broken	down	airplane	.	[SEP]
[CLS]	0.078220	0.064645	0.112098	0.095897	0.063380	0.042166	0.071429	0.067326	0.079144	0.067175	0.056430	0.078268	0.054748	0.069074
A	0.072667	0.027220	0.062144	0.073151	0.066789	0.050244	0.089348	0.080152	0.109130	0.069177	0.059592	0.080938	0.070106	0.089343
person	0.076285	0.071695	0.075920	0.074254	0.040208	0.050011	0.081211	0.067043	0.054071	0.072028	0.080167	0.111333	0.065480	0.080294
on	0.065391	0.062436	0.057236	0.065010	0.067794	0.085966	0.092639	0.060160	0.057994	0.112312	0.056963	0.081831	0.065511	0.068756
a	0.091853	0.067298	0.064600	0.088575	0.050695	0.051793	0.072318	0.057934	0.046220	0.069084	0.076529	0.087985	0.077878	0.097240
horse	0.075221	0.065996	0.072554	0.072017	0.083171	0.045482	0.088420	0.069120	0.086763	0.069626	0.068450	0.072312	0.053079	0.077789
jumps	0.068454	0.076948	0.067840	0.081914	0.064721	0.062889	0.049700	0.068412	0.063067	0.079362	0.083994	0.100280	0.061938	0.070481
over	0.063720	0.067274	0.066479	0.088748	0.056838	0.080878	0.087462	0.066802	0.059586	0.075523	0.055391	0.077114	0.097593	0.056593
a	0.096199	0.046697	0.069535	0.094636	0.050524	0.052937	0.067022	0.052859	0.047786	0.079082	0.085632	0.100145	0.065491	0.091454
broken	0.074185	0.061425	0.084136	0.096073	0.058366	0.052108	0.081809	0.076712	0.047929	0.066213	0.080516	0.073755	0.069922	0.076850
down	0.073747	0.078164	0.066576	0.075335	0.060705	0.070504	0.069106	0.068903	0.071824	0.081750	0.061113	0.086872	0.081826	0.053576
airplane	0.061319	0.060081	0.087621	0.084245	0.051950	0.047985	0.116107	0.085406	0.062274	0.062014	0.066791	0.074535	0.074500	0.065172
.	0.068592	0.052069	0.082218	0.088457	0.061886	0.057048	0.068876	0.118758	0.073480	0.063808	0.062666	0.065776	0.086584	0.049781
[SEP]	0.077141	0.055374	0.065594	0.106737	0.047083	0.067153	0.078290	0.058133	0.044554	0.067735	0.086839	0.090773	0.094736	0.059859
