TOKEN	[CLS]	A	person	on	a	horse	jumps	over	a	broken	down	airplane	.	[SEP]
[CLS]	0.063595	0.068582	0.062943	0.046777	0.077996	0.065467	0.093161	0.077220	0.069597	0.083588	0.053545	0.075913	0.097512	0.064106
A	0.064836	0.072214	0.068695	0.070781	0.092146	0.062917	0.081943	0.061499	0.065132	0.059484	0.063476	0.098391	0.077424	0.061061
person	0.049126	0.111634	0.044525	0.068217	0.101761	0.065280	0.076424	0.069908	0.073984	0.075033	0.062934	0.057371	0.057697	0.086108
on	0.064681	0.096337	0.050535	0.065650	0.097799	0.067935	0.074518	0.060188	0.064685	0.056520	0.058866	0.088151	0.089849	0.064285
a	0.082193	0.087257	0.062935	0.054671	0.066889	0.085655	0.074213	0.057270	0.068209	0.075520	0.072425	0.078979	0.075931	0.057852
horse	0.075864	0.063154	0.077480	0.058490	0.083737	0.059224	0.064213	0.068889	0.080984	0.074081	0.072989	0.077675	0.085493	0.057728
jumps	0.083725	0.048273	0.077268	0.073593	0.070008	0.059862	0.086530	0.072268	0.072594	0.054529	0.061188	0.092641	0.078287	0.069234
over	0.069805	0.076450	0.054412	0.059764	0.091510	0.079651	0.068019	0.052846	0.074011	0.073349	0.072046	0.077679	0.077559	0.072899
a	0.073024	0.077824	0.077849	0.040810	0.076984	0.086997	0.067704	0.072335	0.068899	0.086867	0.062262	0.068323	0.078948	0.061176
broken	0.067199	0.078248	0.050267	0.056184	0.082781	0.071646	0.087836	0.068462	0.071653	0.076873	0.070373	0.068921	0.078436	0.071121
down	0.072163	0.099021	0.057221	0.059503	0.079400	0.047334	0.064210	0.067808	0.076047	0.095032	0.068383	0.070904	0.075880	0.067095
airplane	0.078760	0.067622	0.060037	0.046766	0.088490	0.078051	0.073366	0.092434	0.085862	0.063927	0.065694	0.064138	0.068843	0.066009
.	0.057005	0.090342	0.071305	0.057566	0.087232	0.054260	0.088357	0.060066	0.081851	0.063410	0.049548	0.089516	0.083103	0.066438
[SEP]	0.067501	0.072150	0.042237	0.066806	0.088273	0.073076	0.083753	0.068564	0.064907	0.066430	0.061339	0.081758	0.079566	0.083639
