TOKEN	[CLS]	A	person	on	a	horse	jumps	over	a	broken	down	airplane	.	[SEP]
[CLS]	0.051965	0.077706	0.065439	0.083362	0.064372	0.062973	0.042464	0.090229	0.102774	0.089359	0.063772	0.066169	0.067834	0.071583
A	0.067605	0.047771	0.086967	0.051833	0.069217	0.081830	0.051872	0.078565	0.100965	0.078167	0.072514	0.087869	0.077757	0.047068
person	0.099483	0.064958	0.087520	0.051579	0.071978	0.072401	0.060768	0.072772	0.090584	0.063164	0.071366	0.072215	0.074736	0.046477
on	0.078067	0.054271	0.084746	0.072803	0.064378	0.051646	0.065411	0.089431	0.071084	0.054714	0.065366	0.093827	0.086090	0.068167
a	0.048091	0.050394	0.080114	0.065325	0.074102	0.076421	0.095685	0.066191	0.079206	0.067310	0.079817	0.074259	0.076708	0.066377
horse	0.044421	0.077812	0.089748	0.061886	0.083515	0.063088	0.107545	0.096475	0.053806	0.069754	0.053881	0.068339	0.057634	0.072095
jumps	0.066196	0.069975	0.067306	0.056332	0.062649	0.067526	0.100987	0.118821	0.079458	0.062698	0.066258	0.074856	0.057629	0.049310
over	0.065787	0.058131	0.106046	0.053173	0.064109	0.074031	0.079528	0.083493	0.077294	0.079894	0.067731	0.065822	0.068012	0.056949
a	0.056474	0.058321	0.084640	0.073938	0.068873	0.066171	0.087461	0.077776	0.068861	0.079801	0.078512	0.060653	0.075268	0.063251
broken	0.072881	0.042878	0.092668	0.061027	0.086208	0.061710	0.059543	0.062535	0.084929	0.091882	0.069010	0.068096	0.079157	0.067477
down	0.071957	0.062694	0.091688	0.045491	0.078598	0.070914	0.066999	0.087907	0.089616	0.049644	0.057573	0.060143	0.093745	0.073030
airplane	0.060505	0.050083	0.068972	0.073574	0.082852	0.061958	0.062106	0.071562	0.082866	0.089579	0.086499	0.067360	0.077389	0.064695
.	0.062047	0.069732	0.084880	0.057926	0.087988	0.055221	0.070544	0.077879	0.080178	0.065595	0.079360	0.063258	0.051582	0.093809
[SEP]	0.068255	0.056251	0.080748	0.070053	0.071992	0.077096	0.051201	0.067961	0.086619	0.083786	0.055465	0.060539	0.086839	0.083194
