TOKEN	[CLS]	A	person	on	a	horse	jumps	over	a	broken	down	airplane	.	[SEP]
[CLS]	0.048493	0.075624	0.084950	0.077989	0.060543	0.042825	0.082937	0.062427	0.051398	0.059507	0.073681	0.080915	0.081099	0.117611
A	0.038255	0.075091	0.051551	0.069728	0.084854	0.071482	0.063006	0.081376	0.063457	0.066542	0.068280	0.096228	0.072379	0.097770
person	0.056245	0.048571	0.073104	0.094286	0.064159	0.055675	0.081134	0.081364	0.055882	0.087002	0.054226	0.080635	0.076999	0.090718
on	0.041907	0.063036	0.112584	0.075989	0.076780	0.049294	0.068841	0.066392	0.060469	0.072235	0.059837	0.095707	0.081222	0.075709
a	0.059884	0.052158	0.091177	0.071227	0.056684	0.049311	0.067773	0.071497	0.058547	0.069776	0.076944	0.094328	0.101009	0.079685
horse	0.056788	0.067003	0.066735	0.072511	0.058352	0.053384	0.074775	0.079191	0.049796	0.077541	0.079808	0.099547	0.074508	0.090061
jumps	0.049514	0.067953	0.086631	0.071533	0.063694	0.066683	0.072363	0.074593	0.064375	0.076310	0.068076	0.078842	0.083690	0.075744
over	0.075702	0.052785	0.079463	0.078398	0.059681	0.057453	0.084616	0.058033	0.076665	0.071749	0.074825	0.079802	0.071630	0.079198
a	0.053608	0.057274	0.078998	0.065721	0.063413	0.048298	0.068461	0.076617	0.054239	0.066449	0.078791	0.109221	0.095892	0.083021
broken	0.059447	0.066588	0.075284	0.074696	0.058647	0.051460	0.060451	0.097364	0.053704	0.066639	0.091246	0.086331	0.082825	0.075317
down	0.049696	0.057404	0.125210	0.067205	0.063598	0.049534	0.088416	0.060836	0.045520	0.072362	0.057576	0.081659	0.104968	0.076016
airplane	0.049871	0.061006	0.087987	0.081296	0.062635	0.050790	0.070151	0.072023	0.065410	0.083286	0.066149	0.076625	0.069207	0.103565
.	0.040180	0.065237	0.067497	0.086774	0.075261	0.057692	0.075796	0.071126	0.084676	0.076899	0.059749	0.088936	0.074061	0.076116
[SEP]	0.048270	0.077457	0.057310	0.080786	0.069411	0.056932	0.068267	0.076570	0.055201	0.063306	0.090152	0.088080	0.066328	0.101928
