TOKEN	[CLS]	A	person	on	a	horse	jumps	over	a	broken	down	airplane	.	[SEP]
[CLS]	0.060052	0.079922	0.057606	0.055848	0.087317	0.062509	0.089733	0.074731	0.065064	0.060809	0.069271	0.071633	0.086921	0.078584
A	0.065436	0.087904	0.085217	0.065121	0.057949	0.044962	0.054313	0.059072	0.069141	0.077438	0.092377	0.054800	0.087439	0.098831
person	0.086664	0.056652	0.055802	0.055312	0.085078	0.087206	0.064002	0.092918	0.065234	0.046070	0.055630	0.093646	0.067048	0.088738
on	0.059958	0.073129	0.068241	0.068612	0.083999	0.053360	0.055010	0.081514	0.093579	0.075702	0.073621	0.068760	0.068179	0.076336
a	0.049230	0.064602	0.074078	0.085225	0.070633	0.062858	0.056462	0.107770	0.076776	0.062967	0.081736	0.061885	0.062897	0.082883
horse	0.073232	0.069888	0.076140	0.067106	0.097935	0.057320	0.069638	0.074207	0.075004	0.061092	0.068475	0.070956	0.058073	0.080934
jumps	0.044850	0.073998	0.085617	0.056199	0.080517	0.072941	0.083741	0.065553	0.072851	0.055195	0.074120	0.079650	0.055647	0.099120
over	0.059123	0.079633	0.060058	0.064864	0.087787	0.074155	0.069081	0.065652	0.089948	0.052620	0.064946	0.064395	0.070755	0.096983
a	0.050487	0.072550	0.048347	0.066220	0.071519	0.070770	0.065047	0.109504	0.087445	0.065240	0.074712	0.069444	0.066442	0.082273
broken	0.079989	0.096103	0.051084	0.058928	0.074350	0.051743	0.089910	0.071103	0.081400	0.066852	0.057817	0.074492	0.065968	0.080261
down	0.071890	0.073024	0.049314	0.067994	0.108127	0.068022	0.053474	0.087509	0.092676	0.069958	0.061265	0.059075	0.060709	0.076963
airplane	0.059441	0.055890	0.071008	0.059737	0.088494	0.068758	0.056712	0.106971	0.078553	0.067604	0.069190	0.060368	0.083613	0.073663
.	0.067212	0.062253	0.044060	0.047579	0.089078	0.074096	0.087163	0.074135	0.080351	0.063744	0.073093	0.073857	0.078290	0.085089
[SEP]	0.060441	0.067037	0.064762	0.073557	0.094533	0.053971	0.060591	0.085857	0.088842	0.076572	0.082534	0.051063	0.057704	0.082535
