TOKEN	[CLS]	A	person	on	a	horse	jumps	over	a	broken	down	airplane	.	[SEP]
[CLS]	0.053151	0.072772	0.052723	0.114718	0.050937	0.072560	0.097136	0.068690	0.065393	0.072993	0.070407	0.046110	0.090835	0.071575
A	0.065290	0.058792	0.083779	0.076361	0.074447	0.066881	0.094414	0.072070	0.061344	0.068508	0.087376	0.045129	0.088739	0.056871
person	0.052676	0.088851	0.052401	0.138485	0.060298	0.063286	0.097325	0.047695	0.071005	0.064054	0.056246	0.076273	0.058531	0.072875
on	0.048894	0.078992	0.063533	0.072985	0.084604	0.063837	0.098724	0.056648	0.074165	0.069482	0.093063	0.057492	0.073193	0.064386
a	0.050458	0.090412	0.058853	0.075259	0.103619	0.051879	0.078248	0.042636	0.083696	0.072099	0.085563	0.063628	0.059755	0.083897
horse	0.069877	0.061992	0.062815	0.074586	0.086020	0.072096	0.088340	0.071791	0.076771	0.063158	0.056491	0.066678	0.082312	0.067073
jumps	0.057064	0.067317	0.050924	0.083457	0.044034	0.078337	0.093716	0.064223	0.044303	0.116254	0.084426	0.058446	0.085242	0.072258
over	0.065931	0.068973	0.065960	0.069912	0.068594	0.068644	0.099706	0.051776	0.050556	0.073380	0.084717	0.060566	0.088122	0.083161
a	0.056748	0.104752	0.068921	0.062187	0.105118	0.060121	0.071840	0.046243	0.071897	0.066467	0.085780	0.057006	0.061933	0.080988
broken	0.071650	0.053150	0.075574	0.079163	0.075309	0.078243	0.072638	0.063022	0.064536	0.070732	0.081798	0.062944	0.085811	0.065428
down	0.048681	0.057289	0.075328	0.083475	0.088514	0.058680	0.077106	0.078704	0.054157	0.090700	0.074300	0.101152	0.054914	0.056999
airplane	0.063939	0.068297	0.057924	0.085452	0.059978	0.070401	0.103045	0.066474	0.054982	0.088551	0.063136	0.068348	0.076786	0.072689
.	0.055450	0.078997	0.049764	0.093485	0.090754	0.063515	0.071137	0.051663	0.072863	0.094391	0.077073	0.059309	0.076555	0.065045
[SEP]	0.072375	0.055891	0.069286	0.083712	0.082541	0.054293	0.090627	0.086050	0.073152	0.087777	0.053255	0.067614	0.062758	0.060671
