TOKEN	[CLS]	A	person	on	a	horse	jumps	over	a	broken	down	airplane	.	[SEP]
[CLS]	0.062479	0.065927	0.093688	0.074712	0.060697	0.085575	0.073527	0.056564	0.090492	0.047428	0.060221	0.092591	0.060146	0.075954
A	0.051801	0.044361	0.079321	0.073124	0.070101	0.103845	0.076425	0.054433	0.091084	0.052297	0.044008	0.115487	0.071890	0.071823
person	0.065914	0.073667	0.073943	0.076553	0.070965	0.089227	0.067162	0.068954	0.066912	0.067934	0.058187	0.088757	0.069237	0.062590
on	0.074049	0.087677	0.111061	0.080497	0.071175	0.082470	0.066374	0.054820	0.087666	0.043434	0.059268	0.068744	0.071852	0.040912
a	0.070404	0.078277	0.071897	0.090903	0.051355	0.079692	0.048626	0.078428	0.087472	0.049001	0.065408	0.088165	0.078471	0.061902
horse	0.054142	0.062653	0.085887	0.080815	0.081723	0.069049	0.070277	0.055170	0.099562	0.059153	0.048419	0.084501	0.071152	0.077496
jumps	0.064079	0.091448	0.082395	0.093752	0.047846	0.090030	0.075489	0.055325	0.098214	0.054397	0.052296	0.072950	0.081046	0.040734
over	0.079852	0.094090	0.091080	0.093456	0.064123	0.072123	0.057151	0.051056	0.082737	0.051669	0.061504	0.078740	0.085311	0.037109
a	0.071527	0.084416	0.065552	0.091524	0.053368	0.090776	0.052267	0.071444	0.086678	0.050759	0.060786	0.073651	0.075575	0.071679
broken	0.072071	0.080696	0.084971	0.074011	0.062321	0.072665	0.056374	0.075081	0.077745	0.052524	0.058896	0.089400	0.098192	0.045052
down	0.049346	0.058166	0.118590	0.065492	0.073803	0.094321	0.077711	0.062694	0.099093	0.055650	0.043952	0.077429	0.062236	0.061517
airplane	0.055679	0.114882	0.113981	0.084538	0.049898	0.088719	0.049846	0.055748	0.072635	0.043151	0.074330	0.070012	0.091876	0.034705
.	0.054395	0.046178	0.186763	0.064888	0.063663	0.065763	0.080890	0.059665	0.089397	0.052529	0.057096	0.071905	0.044614	0.062254
[SEP]	0.071612	0.070771	0.089159	0.064249	0.060974	0.088885	0.047386	0.075855	0.087291	0.054750	0.072407	0.081189	0.072237	0.063236
