TOKEN	[CLS]	A	person	on	a	horse	jumps	over	a	broken	down	airplane	.	[SEP]
[CLS]	0.052712	0.073720	0.059129	0.051160	0.084406	0.087123	0.094231	0.063757	0.058197	0.075707	0.062677	0.075838	0.064983	0.096362
A	0.074691	0.105860	0.060349	0.061586	0.100402	0.043067	0.082875	0.075481	0.092814	0.056742	0.067226	0.045711	0.053839	0.079357
person	0.046191	0.074093	0.076248	0.055196	0.079330	0.064861	0.098645	0.076554	0.079582	0.101195	0.054788	0.066685	0.058702	0.067931
on	0.079864	0.070133	0.066973	0.062650	0.068982	0.072819	0.067935	0.078729	0.081967	0.076974	0.062989	0.065845	0.074902	0.069237
a	0.040378	0.101827	0.087033	0.066687	0.052334	0.087793	0.088944	0.050496	0.075516	0.102585	0.050697	0.081776	0.062862	0.051071
horse	0.072725	0.089963	0.066603	0.052094	0.063625	0.057145	0.086589	0.063591	0.081562	0.090960	0.069538	0.076033	0.061331	0.068240
jumps	0.073854	0.078276	0.063006	0.072912	0.068000	0.057859	0.070929	0.089257	0.078635	0.077310	0.068529	0.072537	0.058404	0.070492
over	0.058983	0.088066	0.051829	0.058250	0.113116	0.055431	0.083841	0.080243	0.093040	0.069815	0.073102	0.048752	0.057806	0.067728
a	0.048630	0.086234	0.087460	0.057917	0.085894	0.100548	0.108532	0.051238	0.071667	0.075742	0.059916	0.059055	0.055230	0.051938
broken	0.056587	0.072473	0.090114	0.060481	0.081498	0.060602	0.089962	0.074200	0.087181	0.089914	0.069022	0.059174	0.047116	0.061675
down	0.069467	0.089391	0.066260	0.055250	0.084102	0.081376	0.093203	0.075856	0.066313	0.099266	0.053163	0.057063	0.056563	0.052727
airplane	0.094971	0.078858	0.066947	0.059703	0.071585	0.066182	0.080445	0.087130	0.050146	0.081538	0.059956	0.072362	0.054589	0.075588
.	0.102962	0.055204	0.084918	0.065830	0.066975	0.050739	0.071129	0.071389	0.097579	0.077010	0.048466	0.075000	0.043235	0.089562
[SEP]	0.047642	0.079825	0.092856	0.058147	0.069468	0.091956	0.081204	0.073386	0.082209	0.094748	0.057849	0.074850	0.052317	0.043540
