TOKEN	[CLS]	A	person	on	a	horse	jumps	over	a	broken	down	airplane	.	[SEP]
[CLS]	0.065779	0.046397	0.068690	0.081321	0.065225	0.072589	0.053001	0.063507	0.091111	0.090266	0.070074	0.064962	0.074398	0.092681
A	0.069774	0.070100	0.061892	0.075869	0.071393	0.081292	0.062773	0.073662	0.097417	0.070509	0.065863	0.066627	0.064768	0.068062
person	0.060976	0.039952	0.060323	0.077120	0.081668	0.060696	0.049472	0.055769	0.088062	0.089139	0.074888	0.088032	0.068568	0.105335
on	0.063392	0.061229	0.067011	0.089454	0.081770	0.077235	0.057436	0.058005	0.092637	0.077531	0.066966	0.064573	0.065796	0.076964
a	0.059213	0.080081	0.082952	0.079089	0.055947	0.080762	0.096523	0.061650	0.058751	0.066278	0.078812	0.069331	0.059015	0.071594
horse	0.061881	0.046392	0.073975	0.087304	0.091388	0.065970	0.056184	0.051300	0.106784	0.082151	0.073697	0.066082	0.063151	0.073742
jumps	0.091157	0.055945	0.057975	0.092546	0.072030	0.058742	0.063451	0.069615	0.075927	0.078921	0.058962	0.067208	0.072825	0.084696
over	0.087951	0.054491	0.073171	0.073494	0.084593	0.058816	0.055403	0.052399	0.092659	0.076856	0.060529	0.085104	0.070159	0.074375
a	0.058549	0.063203	0.094927	0.067327	0.060456	0.085059	0.077032	0.068625	0.069333	0.059776	0.090267	0.069962	0.051767	0.083718
broken	0.062642	0.052953	0.072766	0.080211	0.060378	0.072773	0.066685	0.077589	0.078618	0.079082	0.071827	0.063903	0.069006	0.091569
down	0.072266	0.059711	0.064998	0.074424	0.058414	0.074692	0.064099	0.065246	0.078912	0.085397	0.078302	0.066279	0.071687	0.085573
airplane	0.066316	0.054678	0.058132	0.075328	0.073540	0.063936	0.074654	0.074136	0.085860	0.078837	0.078631	0.067019	0.060818	0.088116
.	0.072081	0.061561	0.062807	0.078986	0.063504	0.072131	0.069672	0.065032	0.082443	0.094736	0.072608	0.066663	0.071523	0.066251
[SEP]	0.063833	0.059402	0.061701	0.075752	0.074172	0.083992	0.065216	0.064110	0.104994	0.075853	0.077565	0.063235	0.058631	0.071545
