TOKEN	[CLS]	A	person	on	a	horse	jumps	over	a	broken	down	airplane	.	[SEP]
[CLS]	0.052736	0.074135	0.071763	0.081921	0.089331	0.063318	0.064678	0.063321	0.090645	0.068165	0.062995	0.099908	0.062420	0.054665
A	0.064840	0.076132	0.072185	0.069582	0.071319	0.060923	0.066683	0.077578	0.068929	0.059292	0.058364	0.094974	0.083960	0.075239
person	0.065591	0.068745	0.061489	0.073349	0.077613	0.075745	0.052263	0.074855	0.086553	0.060389	0.072374	0.083768	0.070825	0.076441
on	0.055631	0.089577	0.060837	0.087476	0.057327	0.072454	0.078365	0.062450	0.066299	0.062116	0.084013	0.072964	0.075965	0.074526
a	0.069610	0.080680	0.053400	0.066543	0.070913	0.070043	0.053970	0.068189	0.079783	0.072412	0.081487	0.075079	0.063318	0.094573
horse	0.055639	0.073656	0.057982	0.061985	0.060969	0.082463	0.063808	0.073037	0.087804	0.066973	0.076860	0.089738	0.076530	0.072554
jumps	0.071867	0.079505	0.057662	0.068702	0.066353	0.052273	0.053048	0.077387	0.076802	0.070143	0.091682	0.078931	0.080844	0.074801
over	0.067240	0.083763	0.062360	0.079413	0.064762	0.078778	0.057173	0.076148	0.083979	0.058639	0.089131	0.080306	0.059051	0.059259
a	0.067935	0.094551	0.056141	0.064037	0.064637	0.072798	0.062460	0.055995	0.078033	0.069435	0.091863	0.070346	0.059767	0.092003
broken	0.060781	0.080935	0.072068	0.072204	0.065859	0.074183	0.058270	0.072089	0.087486	0.085775	0.056371	0.068871	0.067104	0.078002
down	0.066809	0.070391	0.051859	0.077546	0.090008	0.050666	0.053327	0.071596	0.073761	0.066662	0.079290	0.069230	0.091006	0.087849
airplane	0.064790	0.078719	0.046404	0.062831	0.089391	0.079235	0.053608	0.067728	0.099717	0.059509	0.081230	0.068696	0.072152	0.075991
.	0.069263	0.072195	0.069045	0.068260	0.075219	0.063245	0.082709	0.079271	0.078031	0.056148	0.078804	0.082466	0.070853	0.054489
[SEP]	0.056798	0.077448	0.067755	0.073888	0.062616	0.062759	0.069086	0.063448	0.075189	0.069281	0.071730	0.123798	0.054282	0.071924
