TOKEN	[CLS]	A	person	on	a	horse	jumps	over	a	broken	down	airplane	.	[SEP]
[CLS]	0.046177	0.100366	0.069223	0.073629	0.052055	0.084601	0.059341	0.072488	0.050754	0.099728	0.061490	0.066941	0.055036	0.108171
A	0.064075	0.095725	0.053514	0.057495	0.068683	0.087881	0.083122	0.077470	0.056495	0.072584	0.078032	0.058815	0.073018	0.073092
person	0.067094	0.087446	0.074363	0.051179	0.053605	0.101741	0.096339	0.071500	0.056630	0.089930	0.056988	0.060663	0.059679	0.072843
on	0.075080	0.097329	0.068557	0.051712	0.086342	0.079597	0.065077	0.088200	0.070693	0.068801	0.062290	0.061318	0.068333	0.056670
a	0.046844	0.077396	0.066630	0.074373	0.060401	0.097178	0.094906	0.095591	0.053974	0.084537	0.069997	0.042106	0.051937	0.084130
horse	0.047866	0.086382	0.058510	0.052630	0.051842	0.091233	0.113195	0.089002	0.064038	0.083959	0.058292	0.073403	0.051624	0.078024
jumps	0.064482	0.077032	0.044782	0.068329	0.055905	0.081724	0.094591	0.089864	0.051521	0.080325	0.061588	0.065849	0.067758	0.096251
over	0.068521	0.106804	0.082590	0.047952	0.064561	0.109184	0.061982	0.089836	0.058189	0.065594	0.052552	0.066605	0.057300	0.068330
a	0.048761	0.091064	0.089567	0.051189	0.054594	0.088862	0.093956	0.091112	0.052556	0.080549	0.067433	0.054599	0.059818	0.075940
broken	0.046100	0.088836	0.089585	0.055218	0.057098	0.090621	0.085253	0.093322	0.059683	0.081013	0.051845	0.052550	0.064886	0.083991
down	0.067585	0.096026	0.072848	0.052374	0.081774	0.087396	0.068859	0.049418	0.073024	0.102773	0.059371	0.063131	0.053291	0.072130
airplane	0.080151	0.097869	0.077287	0.067063	0.045038	0.099482	0.074235	0.078251	0.044679	0.096522	0.051964	0.049669	0.050482	0.087308
.	0.047738	0.066147	0.092520	0.052831	0.078504	0.062496	0.077449	0.082184	0.071554	0.088877	0.078584	0.082656	0.050607	0.067853
[SEP]	0.069331	0.084965	0.066478	0.051900	0.063132	0.093043	0.080967	0.105521	0.060881	0.081184	0.058031	0.053480	0.055724	0.075362
