TOKEN	[CLS]	A	person	on	a	horse	jumps	over	a	broken	down	airplane	.	[SEP]
[CLS]	0.056110	0.066771	0.067062	0.048870	0.102383	0.055448	0.123171	0.044214	0.054678	0.078746	0.088577	0.060221	0.044065	0.109683
A	0.051191	0.063933	0.054991	0.048291	0.103909	0.083259	0.104575	0.046484	0.080661	0.065615	0.084049	0.066004	0.039586	0.107452
person	0.052136	0.062023	0.073082	0.060614	0.086552	0.093656	0.073263	0.066793	0.055022	0.110638	0.062834	0.077487	0.052777	0.073123
on	0.083774	0.080532	0.056102	0.056620	0.086699	0.074296	0.111014	0.049831	0.050017	0.072170	0.077956	0.063692	0.048563	0.088733
a	0.060886	0.083458	0.089310	0.045864	0.082170	0.102571	0.090068	0.049560	0.060682	0.084875	0.057519	0.062734	0.048322	0.081982
horse	0.062189	0.058401	0.086962	0.036089	0.075608	0.082322	0.100283	0.051404	0.064621	0.114186	0.065624	0.070586	0.064238	0.067488
jumps	0.065722	0.043600	0.070134	0.043345	0.114861	0.081701	0.064691	0.042928	0.099273	0.089117	0.087312	0.061890	0.055770	0.079654
over	0.053415	0.065937	0.084861	0.040235	0.092241	0.082196	0.109567	0.047402	0.069658	0.082959	0.072633	0.046293	0.053316	0.099287
a	0.062020	0.077682	0.094353	0.042203	0.094024	0.070564	0.085566	0.059919	0.072683	0.097230	0.056366	0.062377	0.067920	0.057094
broken	0.050909	0.082349	0.064047	0.034145	0.072739	0.106807	0.111717	0.053731	0.057759	0.097170	0.049947	0.062258	0.066936	0.089485
down	0.059524	0.080683	0.059540	0.029340	0.087119	0.081743	0.094034	0.050796	0.063822	0.143817	0.056961	0.064756	0.050564	0.077302
airplane	0.061872	0.070187	0.060075	0.044726	0.094776	0.078465	0.090901	0.055307	0.061579	0.123086	0.067811	0.062787	0.058261	0.070165
.	0.069785	0.097625	0.081914	0.060173	0.077441	0.073089	0.098337	0.058098	0.059083	0.078859	0.080458	0.054052	0.047460	0.063627
[SEP]	0.050027	0.064280	0.064813	0.029260	0.113933	0.091621	0.079883	0.039578	0.084446	0.145571	0.052979	0.050500	0.058087	0.075021
