TOKEN	[CLS]	A	person	on	a	horse	jumps	over	a	broken	down	airplane	.	[SEP]
[CLS]	0.077418	0.064332	0.081332	0.073455	0.069125	0.076259	0.044936	0.091795	0.064843	0.092505	0.060783	0.068213	0.067185	0.067820
A	0.066585	0.067030	0.067620	0.070644	0.104552	0.074011	0.055869	0.069794	0.092348	0.063236	0.051024	0.077870	0.062001	0.077415
person	0.072282	0.053133	0.049757	0.054663	0.094804	0.060608	0.068301	0.069225	0.095299	0.072198	0.071805	0.074743	0.093390	0.069790
on	0.052718	0.072958	0.061975	0.063219	0.089294	0.085230	0.058267	0.076496	0.076410	0.102095	0.066674	0.068263	0.051922	0.074479
a	0.049301	0.052698	0.064936	0.058549	0.107539	0.057873	0.073758	0.102840	0.076008	0.107460	0.068231	0.049858	0.052157	0.078793
horse	0.068371	0.062976	0.100122	0.065411	0.071578	0.106089	0.071379	0.091848	0.067933	0.058688	0.056260	0.069813	0.048443	0.061089
jumps	0.057556	0.076166	0.073241	0.067374	0.081366	0.059788	0.054954	0.090398	0.063367	0.104184	0.070161	0.051483	0.050868	0.099095
over	0.047006	0.075720	0.070389	0.065785	0.079389	0.077480	0.069804	0.077985	0.072795	0.101987	0.069893	0.065631	0.047877	0.078259
a	0.051061	0.051631	0.069973	0.063036	0.120174	0.066173	0.060302	0.097005	0.069182	0.088126	0.082485	0.052043	0.055203	0.073606
broken	0.058450	0.070786	0.093746	0.064745	0.085197	0.068337	0.058858	0.075102	0.090588	0.085555	0.057791	0.060897	0.057982	0.071964
down	0.058559	0.066011	0.092571	0.041124	0.074826	0.082065	0.072543	0.092715	0.062468	0.095041	0.070080	0.064701	0.062067	0.065230
airplane	0.069370	0.081591	0.076939	0.061362	0.072360	0.073036	0.070402	0.081447	0.073495	0.087032	0.065398	0.072794	0.048697	0.066076
.	0.070733	0.072920	0.073356	0.057589	0.075796	0.079596	0.077292	0.076515	0.086474	0.080083	0.056604	0.071195	0.050477	0.071371
[SEP]	0.062800	0.061836	0.077106	0.049935	0.076706	0.077658	0.070349	0.112455	0.075288	0.065583	0.063818	0.069789	0.062668	0.074010
