TOKEN	[CLS]	A	person	on	a	horse	jumps	over	a	broken	down	airplane	.	[SEP]
[CLS]	0.053704	0.092811	0.061090	0.057481	0.080410	0.096881	0.104633	0.057174	0.080051	0.051022	0.069420	0.045297	0.087680	0.062347
A	0.043487	0.089332	0.075388	0.130252	0.066787	0.102611	0.044644	0.069690	0.067406	0.055154	0.066448	0.040394	0.069987	0.078419
person	0.052467	0.105179	0.056432	0.079225	0.076313	0.066200	0.059164	0.087209	0.074620	0.088358	0.070262	0.048490	0.074373	0.061709
on	0.064798	0.075090	0.066883	0.086641	0.083072	0.075258	0.048812	0.056046	0.084481	0.084494	0.081457	0.054326	0.047337	0.091304
a	0.056981	0.079065	0.069675	0.059863	0.071540	0.061165	0.091093	0.084399	0.078372	0.072853	0.076565	0.064235	0.057943	0.076251
horse	0.086866	0.100057	0.077189	0.063575	0.053881	0.081970	0.050755	0.075189	0.060745	0.071620	0.106941	0.047681	0.052954	0.070578
jumps	0.061315	0.071277	0.052950	0.138186	0.054282	0.084934	0.068175	0.064242	0.064714	0.068258	0.074877	0.043186	0.059004	0.094600
over	0.061877	0.074311	0.063744	0.048167	0.071230	0.068150	0.060083	0.083467	0.088361	0.064509	0.064411	0.053534	0.074971	0.123185
a	0.051389	0.090174	0.066386	0.060607	0.073754	0.065573	0.084964	0.070591	0.096487	0.075411	0.065749	0.067420	0.058990	0.072506
broken	0.079951	0.074340	0.044099	0.067268	0.069557	0.061300	0.066033	0.083401	0.062034	0.076011	0.070810	0.043195	0.092455	0.109545
down	0.048938	0.080968	0.075043	0.102848	0.073549	0.074160	0.057227	0.047999	0.068639	0.086467	0.090643	0.054855	0.035798	0.102867
airplane	0.065538	0.063984	0.066740	0.080270	0.046578	0.069044	0.053499	0.081775	0.075179	0.084763	0.082031	0.062322	0.062903	0.105375
.	0.056710	0.075395	0.091150	0.102853	0.083384	0.061894	0.067459	0.049557	0.067434	0.064653	0.073835	0.062028	0.048265	0.095383
[SEP]	0.054798	0.090140	0.056536	0.056954	0.073612	0.051883	0.066943	0.065026	0.091331	0.070863	0.087848	0.072087	0.053421	0.108559
