TOKEN	[CLS]	A	person	on	a	horse	jumps	over	a	broken	down	airplane	.	[SEP]
[CLS]	0.085382	0.063450	0.049553	0.088809	0.068385	0.063561	0.066998	0.078860	0.077637	0.060468	0.064947	0.076044	0.091882	0.064022
A	0.063332	0.072753	0.080099	0.082065	0.065961	0.060767	0.047102	0.077853	0.059771	0.068838	0.103669	0.053479	0.094669	0.069644
person	0.060929	0.067854	0.046806	0.098677	0.067643	0.071745	0.056275	0.090445	0.074029	0.075019	0.089487	0.064664	0.061431	0.074996
on	0.054809	0.062310	0.052170	0.077753	0.069876	0.086658	0.058141	0.076279	0.069640	0.102662	0.079899	0.080345	0.070295	0.059163
a	0.070355	0.062449	0.061832	0.083683	0.060366	0.084855	0.055995	0.083975	0.069282	0.065800	0.099644	0.071095	0.055652	0.075019
horse	0.074632	0.084312	0.085388	0.058290	0.076632	0.075570	0.071054	0.060442	0.078819	0.072435	0.071269	0.055981	0.070644	0.064533
jumps	0.074359	0.062127	0.085473	0.072739	0.058681	0.073140	0.047924	0.077401	0.089635	0.082528	0.076566	0.060998	0.070208	0.068220
over	0.105914	0.053333	0.062680	0.070384	0.053244	0.087981	0.056506	0.091236	0.078870	0.054726	0.076955	0.078792	0.064645	0.064732
a	0.055459	0.064930	0.084768	0.067341	0.074696	0.084289	0.061930	0.063226	0.083044	0.074925	0.085554	0.094843	0.046262	0.058731
broken	0.085210	0.066740	0.061739	0.095945	0.067356	0.075179	0.046110	0.068676	0.065636	0.052635	0.100339	0.065648	0.072576	0.076211
down	0.083718	0.075160	0.071586	0.082339	0.076998	0.073739	0.062151	0.071034	0.063961	0.082996	0.054445	0.052831	0.094504	0.054540
airplane	0.070066	0.100713	0.081842	0.091389	0.065147	0.092273	0.036072	0.061612	0.069149	0.073264	0.081389	0.070746	0.052331	0.054008
.	0.080328	0.076260	0.058571	0.075451	0.073666	0.095823	0.059504	0.075327	0.067617	0.075125	0.060539	0.058350	0.069172	0.074267
[SEP]	0.073265	0.061428	0.059148	0.094606	0.049562	0.082014	0.058800	0.081637	0.069292	0.075090	0.095247	0.068678	0.081914	0.049319
