TOKEN	[CLS]	A	person	on	a	horse	jumps	over	a	broken	down	airplane	.	[SEP]
[CLS]	0.093802	0.063530	0.054607	0.080788	0.048662	0.045873	0.044388	0.042801	0.066587	0.079736	0.088203	0.073488	0.102307	0.115228
A	0.081810	0.066227	0.070043	0.062966	0.061358	0.069684	0.086729	0.062285	0.062016	0.076726	0.076732	0.063962	0.084697	0.074766
person	0.087166	0.070697	0.069958	0.070370	0.061213	0.075070	0.060402	0.071251	0.066774	0.049161	0.091229	0.068629	0.060998	0.097083
on	0.076969	0.063036	0.060244	0.078557	0.090668	0.060917	0.062306	0.064237	0.060149	0.064831	0.107410	0.065608	0.066633	0.078435
a	0.090687	0.072070	0.036448	0.093943	0.062908	0.056442	0.043583	0.071275	0.074963	0.063981	0.093983	0.058065	0.075505	0.106145
horse	0.064931	0.055188	0.074702	0.058762	0.063969	0.062860	0.048012	0.057531	0.070020	0.074918	0.115035	0.077615	0.076231	0.100224
jumps	0.062704	0.064593	0.093325	0.057218	0.074899	0.076399	0.059354	0.061259	0.064210	0.060577	0.082611	0.085289	0.075392	0.082173
over	0.115334	0.058774	0.043015	0.090088	0.071151	0.060389	0.042935	0.074924	0.082564	0.058711	0.079749	0.050485	0.089996	0.081886
a	0.082330	0.075296	0.038130	0.093295	0.069665	0.076038	0.044146	0.075254	0.064985	0.067219	0.111476	0.048584	0.067843	0.085741
broken	0.090988	0.053314	0.059372	0.056581	0.058994	0.076935	0.041839	0.091380	0.071437	0.058479	0.117468	0.073358	0.058948	0.090907
down	0.081104	0.050104	0.053348	0.099749	0.050998	0.056113	0.058444	0.068474	0.062136	0.053303	0.105326	0.079156	0.099300	0.082446
airplane	0.075144	0.079428	0.051893	0.083320	0.069222	0.073759	0.048882	0.052592	0.066870	0.075189	0.091914	0.073617	0.073792	0.084378
.	0.072389	0.072285	0.049842	0.081532	0.091007	0.059963	0.049565	0.073801	0.077880	0.063228	0.084264	0.062638	0.071313	0.090293
[SEP]	0.116712	0.056470	0.060437	0.127194	0.056698	0.039735	0.056851	0.072258	0.047791	0.071825	0.088898	0.052699	0.078739	0.073692
