TOKEN	[CLS]	A	person	is	at	a	diner	,	ordering	an	o	##mel	##ette	.	[SEP]
[CLS]	0.013498	0.017791	0.027220	0.027020	0.011681	0.009937	0.030445	0.008212	0.014705	0.010886	0.010181	0.007069	0.014435	0.016579	0.780342
A	0.002524	0.120194	0.081045	0.112016	0.047138	0.060637	0.031985	0.020363	0.028877	0.019603	0.004444	0.004197	0.006704	0.077331	0.382943
person	0.002755	0.034178	0.104070	0.039535	0.012310	0.017876	0.050425	0.004352	0.018865	0.004971	0.005525	0.012464	0.006140	0.033922	0.652613
is	0.004643	0.102884	0.119085	0.195993	0.110417	0.028815	0.040304	0.048314	0.071116	0.016394	0.006939	0.012958	0.012294	0.066511	0.163332
at	0.004806	0.038055	0.024677	0.087287	0.142453	0.047765	0.022831	0.037113	0.195619	0.054345	0.007301	0.004150	0.010667	0.028465	0.294467
a	0.003637	0.115295	0.051268	0.118504	0.165748	0.143044	0.026133	0.034423	0.066875	0.044768	0.004856	0.003591	0.006418	0.050044	0.165398
diner	0.001934	0.011835	0.072716	0.018693	0.019258	0.020656	0.045616	0.008917	0.019088	0.008353	0.017759	0.029165	0.012819	0.007025	0.706167
,	0.002124	0.115585	0.087507	0.132204	0.060271	0.047748	0.061188	0.062992	0.060781	0.031192	0.016161	0.009463	0.019126	0.049627	0.244031
ordering	0.002468	0.030782	0.018314	0.044761	0.087884	0.027976	0.038401	0.031561	0.111994	0.048508	0.017614	0.007410	0.020412	0.033291	0.478624
an	0.001302	0.036409	0.049617	0.095669	0.099236	0.042923	0.079403	0.039067	0.117140	0.089047	0.037001	0.018121	0.036093	0.066290	0.192683
o	0.001506	0.014324	0.040102	0.016044	0.013681	0.010659	0.247543	0.015570	0.046034	0.019444	0.068817	0.094626	0.088166	0.040345	0.283140
##mel	0.001209	0.005303	0.021921	0.009330	0.004647	0.002791	0.083530	0.007898	0.014641	0.007432	0.021158	0.031795	0.018383	0.011085	0.758877
##ette	0.001536	0.009668	0.038409	0.019654	0.018563	0.007812	0.250870	0.034199	0.062874	0.028302	0.050140	0.042219	0.053719	0.034453	0.347583
.	0.001560	0.038760	0.060116	0.027969	0.018458	0.012510	0.066470	0.024901	0.040689	0.012118	0.018524	0.011351	0.025891	0.038842	0.601841
[SEP]	0.000826	0.000282	0.000463	0.000614	0.000297	0.000209	0.000978	0.000847	0.000672	0.000212	0.000339	0.000230	0.000235	0.001121	0.992676
