TOKEN	[CLS]	A	person	is	at	a	diner	,	ordering	an	o	##mel	##ette	.	[SEP]
[CLS]	0.007185	0.629942	0.059270	0.196102	0.007204	0.057187	0.000432	0.028601	0.001471	0.004332	0.001143	0.000124	0.001303	0.004956	0.000748
A	0.000702	0.525732	0.088224	0.262778	0.003705	0.020446	0.000058	0.022213	0.000950	0.003525	0.000068	0.000003	0.000114	0.017827	0.053656
person	0.001805	0.144518	0.113894	0.117210	0.026552	0.041683	0.005623	0.014597	0.011136	0.007347	0.001227	0.000324	0.004819	0.048101	0.461166
is	0.000518	0.087719	0.017258	0.380876	0.010936	0.016802	0.001155	0.032922	0.004987	0.002070	0.000055	0.000006	0.000171	0.030645	0.413880
at	0.000233	0.009711	0.009664	0.028086	0.471945	0.070424	0.157702	0.016399	0.042693	0.002416	0.000252	0.000038	0.001592	0.021304	0.167541
a	0.001193	0.112135	0.050315	0.182580	0.066720	0.126115	0.069108	0.065179	0.027113	0.008757	0.000552	0.000092	0.001585	0.040826	0.247732
diner	0.000098	0.008813	0.004451	0.003984	0.022434	0.011066	0.043528	0.001422	0.033639	0.001521	0.001808	0.000230	0.001798	0.017980	0.847226
,	0.000215	0.024174	0.004565	0.067738	0.005358	0.012745	0.001643	0.201427	0.006199	0.003140	0.000224	0.000038	0.000447	0.068339	0.603746
ordering	0.000108	0.001923	0.001253	0.002556	0.005538	0.001809	0.024292	0.001056	0.481152	0.011459	0.004701	0.001628	0.016099	0.009183	0.437242
an	0.003994	0.027265	0.008529	0.017176	0.005350	0.007009	0.073382	0.008677	0.269909	0.056746	0.049387	0.021670	0.089164	0.022162	0.339580
o	0.000987	0.006343	0.003165	0.001766	0.001282	0.001755	0.013765	0.000833	0.022235	0.006430	0.026709	0.013077	0.033186	0.011310	0.857159
##mel	0.003122	0.006741	0.001235	0.000564	0.000542	0.001677	0.008570	0.000881	0.026115	0.009240	0.042381	0.078065	0.067773	0.010064	0.743029
##ette	0.000283	0.003883	0.003238	0.002323	0.006063	0.003882	0.020814	0.002897	0.085405	0.010565	0.031434	0.004898	0.043871	0.016329	0.764115
.	0.001436	0.059439	0.013872	0.034066	0.003805	0.011704	0.000534	0.020936	0.001935	0.002205	0.000153	0.000025	0.000272	0.104797	0.744821
[SEP]	0.023514	0.047416	0.061658	0.079402	0.027975	0.043380	0.034565	0.056381	0.026461	0.040382	0.013781	0.005715	0.016133	0.205996	0.317243
