TOKEN	[CLS]	A	person	is	at	a	diner	,	ordering	an	o	##mel	##ette	.	[SEP]
[CLS]	0.376991	0.012152	0.016200	0.017287	0.011843	0.011314	0.014158	0.019304	0.020769	0.010077	0.013626	0.004641	0.014601	0.047973	0.409062
A	0.126283	0.126966	0.095011	0.175515	0.054504	0.109994	0.012939	0.024541	0.059550	0.086396	0.007663	0.001015	0.003063	0.042444	0.074116
person	0.220081	0.142300	0.012240	0.196800	0.094333	0.068336	0.029115	0.012142	0.069566	0.046926	0.007618	0.001198	0.005800	0.038980	0.054564
is	0.296745	0.041120	0.119381	0.065745	0.103312	0.041366	0.014116	0.022640	0.052604	0.017804	0.002648	0.000822	0.002950	0.035712	0.183033
at	0.296270	0.037531	0.152092	0.031044	0.115897	0.039750	0.008734	0.018472	0.045144	0.008177	0.002815	0.000654	0.005968	0.034895	0.202557
a	0.154673	0.112960	0.065839	0.088337	0.072943	0.068668	0.025351	0.021532	0.117841	0.086120	0.021897	0.003876	0.022371	0.036168	0.101424
diner	0.302516	0.037157	0.028618	0.156207	0.069601	0.073814	0.031323	0.038426	0.072544	0.018662	0.006327	0.000616	0.006047	0.028334	0.129808
,	0.192244	0.019620	0.028575	0.134696	0.020731	0.037642	0.009395	0.200899	0.047458	0.064400	0.010137	0.007469	0.014574	0.095443	0.116716
ordering	0.214729	0.082359	0.164019	0.063707	0.040605	0.062603	0.037199	0.022147	0.039103	0.087407	0.010071	0.007465	0.002658	0.033596	0.132332
an	0.135282	0.066352	0.020068	0.081005	0.041102	0.067420	0.014928	0.052555	0.076524	0.147547	0.068487	0.005930	0.075868	0.063499	0.083433
o	0.026778	0.007146	0.001633	0.001015	0.005379	0.004487	0.004081	0.004549	0.019361	0.013055	0.063441	0.688850	0.125686	0.015210	0.019328
##mel	0.369989	0.015366	0.007044	0.004567	0.006754	0.026220	0.017480	0.027054	0.008609	0.025207	0.019569	0.002433	0.160365	0.054204	0.255141
##ette	0.184417	0.011802	0.012449	0.027104	0.013649	0.013669	0.075284	0.039040	0.026106	0.036930	0.164443	0.121118	0.012913	0.059204	0.201870
.	0.210815	0.024152	0.035219	0.094923	0.020395	0.037544	0.027577	0.044866	0.047794	0.065381	0.031148	0.012457	0.015341	0.167605	0.164783
[SEP]	0.355987	0.013372	0.006706	0.004920	0.005402	0.008863	0.005574	0.018106	0.004927	0.006386	0.012364	0.007867	0.015206	0.036019	0.498300
