TOKEN	[CLS]	A	person	is	at	a	diner	,	ordering	an	o	##mel	##ette	.	[SEP]
[CLS]	0.702528	0.043543	0.006959	0.021758	0.029892	0.032497	0.003645	0.020651	0.013527	0.037484	0.011459	0.006788	0.005343	0.034979	0.028946
A	0.895446	0.037510	0.003304	0.030625	0.029712	0.000840	0.000012	0.000436	0.000061	0.000708	0.000041	0.000064	0.000080	0.000621	0.000539
person	0.534850	0.411509	0.002832	0.003171	0.039465	0.006110	0.000024	0.000103	0.000866	0.000255	0.000001	0.000007	0.000081	0.000396	0.000329
is	0.873867	0.049547	0.015271	0.016010	0.035566	0.006392	0.000031	0.000373	0.000003	0.000151	0.000118	0.000008	0.000000	0.000164	0.002500
at	0.532510	0.008429	0.011406	0.393516	0.032173	0.011104	0.002344	0.005902	0.001342	0.000083	0.000059	0.000230	0.000003	0.000047	0.000853
a	0.621804	0.000873	0.001536	0.114422	0.203498	0.020126	0.000615	0.035127	0.000908	0.000710	0.000021	0.000013	0.000007	0.000047	0.000293
diner	0.855347	0.001726	0.000990	0.004886	0.056637	0.055646	0.001287	0.020656	0.001222	0.001144	0.000021	0.000006	0.000018	0.000164	0.000250
,	0.698365	0.001639	0.000080	0.003718	0.017106	0.173589	0.007659	0.069608	0.001950	0.023338	0.000912	0.000073	0.000003	0.000457	0.001502
ordering	0.859258	0.000044	0.000163	0.001574	0.003054	0.003310	0.004393	0.109514	0.000392	0.010975	0.002994	0.001946	0.000035	0.000207	0.002139
an	0.763738	0.000023	0.000036	0.000602	0.005371	0.001732	0.000466	0.189939	0.020054	0.011641	0.001999	0.000553	0.000601	0.001912	0.001334
o	0.875158	0.000763	0.000011	0.000010	0.000548	0.002904	0.000161	0.006690	0.003595	0.097865	0.001194	0.001567	0.004993	0.002229	0.002313
##mel	0.391838	0.000165	0.000445	0.000049	0.000309	0.000219	0.000522	0.008714	0.000882	0.002866	0.537086	0.006794	0.017702	0.021230	0.011179
##ette	0.196351	0.000057	0.000308	0.000078	0.000151	0.000073	0.000190	0.006807	0.000117	0.013183	0.015033	0.742470	0.002562	0.006337	0.016282
.	0.791953	0.001363	0.000022	0.000229	0.000398	0.000157	0.000012	0.001621	0.000896	0.013451	0.003529	0.001198	0.004754	0.105217	0.075201
[SEP]	0.882722	0.000809	0.000021	0.000015	0.000162	0.000039	0.000005	0.000049	0.000190	0.003223	0.000894	0.001218	0.001567	0.057496	0.051591
