TOKEN	[CLS]	A	person	is	at	a	diner	,	ordering	an	o	##mel	##ette	.	[SEP]
[CLS]	0.439600	0.029419	0.029031	0.039859	0.040356	0.038209	0.071153	0.049141	0.025636	0.030480	0.026672	0.022698	0.030662	0.060452	0.066634
A	0.662760	0.014336	0.011450	0.014386	0.018862	0.021678	0.031242	0.027179	0.020935	0.022527	0.020500	0.017574	0.010305	0.043008	0.063259
person	0.356039	0.038238	0.001465	0.021061	0.016114	0.030234	0.051498	0.023455	0.014303	0.022221	0.014476	0.026419	0.003335	0.078517	0.302624
is	0.394200	0.018709	0.008526	0.009058	0.019126	0.020021	0.014984	0.074297	0.016848	0.027461	0.030361	0.037626	0.020606	0.118678	0.189500
at	0.723150	0.027704	0.015260	0.024211	0.007312	0.029428	0.010049	0.007666	0.005411	0.021941	0.007097	0.003151	0.004412	0.022016	0.091192
a	0.656314	0.016728	0.011252	0.012006	0.013382	0.024522	0.032273	0.025133	0.008294	0.028162	0.016239	0.012161	0.008388	0.048099	0.087048
diner	0.609573	0.022239	0.007413	0.004348	0.010184	0.027742	0.000153	0.024641	0.003812	0.018671	0.007265	0.025984	0.004477	0.059789	0.173707
,	0.514100	0.021563	0.036177	0.063361	0.024905	0.033086	0.045101	0.054878	0.024616	0.026662	0.007500	0.010281	0.008803	0.047921	0.081047
ordering	0.446921	0.045906	0.008643	0.033060	0.032719	0.075092	0.018939	0.019442	0.000431	0.059446	0.015914	0.009970	0.002074	0.070203	0.161243
an	0.748422	0.013800	0.008797	0.009202	0.007177	0.020732	0.013904	0.022922	0.005191	0.015476	0.012019	0.007029	0.010716	0.044758	0.059855
o	0.716852	0.019607	0.009956	0.017280	0.009958	0.015363	0.055613	0.017422	0.009742	0.008293	0.000179	0.006756	0.022533	0.032083	0.058361
##mel	0.890268	0.006506	0.003325	0.005871	0.003519	0.010020	0.018521	0.006470	0.001116	0.007901	0.002505	0.000315	0.005916	0.016369	0.021378
##ette	0.386734	0.041422	0.002525	0.082131	0.052366	0.055570	0.017202	0.034173	0.006647	0.029853	0.124407	0.034473	0.000330	0.067341	0.064827
.	0.457816	0.025334	0.035897	0.057058	0.031830	0.037003	0.082411	0.041126	0.047265	0.027795	0.012210	0.012751	0.016531	0.047511	0.067461
[SEP]	0.371881	0.037343	0.038108	0.026346	0.037211	0.043406	0.053699	0.069809	0.019207	0.035765	0.032351	0.038447	0.052593	0.069244	0.074589
