TOKEN	[CLS]	A	person	is	at	a	diner	,	ordering	an	o	##mel	##ette	.	[SEP]
[CLS]	0.045879	0.124439	0.062410	0.113330	0.017581	0.089193	0.061744	0.052476	0.028245	0.023670	0.026587	0.022029	0.018863	0.055960	0.257594
A	0.065919	0.068667	0.068697	0.036786	0.031789	0.044716	0.065437	0.045929	0.036012	0.013631	0.010998	0.009621	0.013024	0.037177	0.451597
person	0.057854	0.047609	0.033180	0.028732	0.022702	0.038308	0.018767	0.028073	0.020877	0.012789	0.003948	0.003550	0.005891	0.042479	0.635240
is	0.089738	0.076281	0.038181	0.016768	0.052369	0.073438	0.023236	0.037819	0.053473	0.028430	0.004678	0.009480	0.013526	0.053189	0.429393
at	0.050270	0.059252	0.051096	0.030772	0.018384	0.041914	0.016192	0.020371	0.031738	0.011242	0.003662	0.007173	0.004952	0.022670	0.630311
a	0.073092	0.064260	0.055847	0.033111	0.022172	0.051675	0.026641	0.029029	0.050596	0.021292	0.005985	0.010736	0.009939	0.021367	0.524258
diner	0.024501	0.035226	0.034839	0.014177	0.004136	0.020983	0.013921	0.010214	0.016442	0.015228	0.006326	0.006189	0.007544	0.015952	0.774322
,	0.054201	0.056134	0.028947	0.039681	0.049749	0.064723	0.026881	0.058035	0.035614	0.020308	0.007382	0.005525	0.013902	0.032972	0.505946
ordering	0.051277	0.048850	0.035534	0.031129	0.016175	0.043885	0.018077	0.013839	0.035422	0.023947	0.004799	0.005795	0.010400	0.017184	0.643687
an	0.068078	0.042705	0.064642	0.037650	0.048455	0.077372	0.028868	0.023559	0.123536	0.082243	0.012405	0.025167	0.024512	0.018344	0.322464
o	0.017402	0.016924	0.034178	0.011961	0.014772	0.029531	0.018408	0.007081	0.063410	0.036240	0.012364	0.011945	0.024139	0.008332	0.693313
##mel	0.014083	0.021301	0.031843	0.014691	0.006748	0.027660	0.012836	0.008362	0.032288	0.021128	0.013103	0.009523	0.021716	0.008103	0.756614
##ette	0.023196	0.036768	0.063247	0.030385	0.029684	0.068106	0.037448	0.012651	0.094080	0.070318	0.026252	0.037805	0.048705	0.011076	0.410280
.	0.168197	0.095354	0.060347	0.069232	0.028587	0.046264	0.019411	0.054760	0.033446	0.040252	0.012276	0.005330	0.020849	0.027692	0.318005
[SEP]	0.085747	0.065967	0.065166	0.080165	0.070121	0.062909	0.059737	0.079362	0.062363	0.062767	0.069378	0.064027	0.064309	0.067928	0.040055
