TOKEN	[CLS]	A	person	is	at	a	diner	,	ordering	an	o	##mel	##ette	.	[SEP]
[CLS]	0.300612	0.085971	0.096720	0.039502	0.027186	0.070173	0.031274	0.028487	0.043331	0.043787	0.006417	0.018179	0.007982	0.027460	0.172919
A	0.001547	0.015997	0.010468	0.035409	0.031699	0.046513	0.033649	0.120857	0.133975	0.078231	0.112519	0.020331	0.034000	0.237625	0.087179
person	0.002310	0.025907	0.001728	0.017907	0.030075	0.038269	0.067559	0.044462	0.150293	0.059031	0.047009	0.025424	0.093822	0.130283	0.265922
is	0.004894	0.047426	0.006576	0.018661	0.035875	0.036147	0.032665	0.051017	0.241497	0.075230	0.033040	0.014134	0.085991	0.159904	0.156944
at	0.001343	0.043685	0.007250	0.028041	0.011549	0.027915	0.026184	0.111341	0.072455	0.043402	0.059695	0.028271	0.110737	0.169238	0.258893
a	0.005520	0.046379	0.023498	0.042469	0.029249	0.025799	0.029581	0.112488	0.109774	0.026853	0.079859	0.019910	0.044282	0.153630	0.250709
diner	0.000617	0.011345	0.006401	0.010548	0.009116	0.007640	0.004028	0.081959	0.015834	0.013315	0.018919	0.033256	0.019866	0.077682	0.689471
,	0.003531	0.062565	0.019730	0.080577	0.037914	0.041202	0.075322	0.038082	0.043244	0.036220	0.056483	0.030167	0.093802	0.099972	0.281189
ordering	0.001868	0.075132	0.016772	0.085976	0.036912	0.015651	0.014627	0.077877	0.002467	0.018841	0.061993	0.007386	0.046445	0.196312	0.341743
an	0.005059	0.038582	0.026520	0.049092	0.035258	0.016080	0.030770	0.094264	0.110972	0.018546	0.088983	0.012435	0.045308	0.154219	0.273912
o	0.001950	0.095465	0.038289	0.033490	0.035774	0.047091	0.081729	0.059032	0.066732	0.057477	0.018405	0.006454	0.079548	0.123912	0.254654
##mel	0.001269	0.018087	0.009434	0.017776	0.022238	0.010618	0.010467	0.078894	0.028770	0.013386	0.013088	0.001399	0.009986	0.093952	0.670636
##ette	0.004434	0.031794	0.056384	0.035102	0.026122	0.011835	0.048547	0.079337	0.052362	0.021624	0.087344	0.016223	0.032624	0.203366	0.292902
.	0.002819	0.099727	0.039265	0.052857	0.050673	0.039480	0.043173	0.039209	0.062512	0.045346	0.038109	0.014760	0.028871	0.089379	0.353821
[SEP]	0.000671	0.000529	0.000244	0.001489	0.000760	0.000362	0.000311	0.000454	0.000663	0.000398	0.000378	0.000183	0.000492	0.001570	0.991497
