TOKEN	[CLS]	A	person	is	at	a	diner	,	ordering	an	o	##mel	##ette	.	[SEP]
[CLS]	0.028034	0.008099	0.009668	0.003796	0.003296	0.001551	0.011372	0.002451	0.006112	0.001356	0.000836	0.002123	0.002865	0.009116	0.909325
A	0.002335	0.023660	0.135166	0.029414	0.010755	0.004422	0.011938	0.007786	0.006328	0.001138	0.000387	0.004581	0.000892	0.007581	0.753617
person	0.003171	0.038492	0.018499	0.031987	0.007328	0.006025	0.018356	0.004174	0.008455	0.002744	0.003152	0.014806	0.005354	0.013548	0.823909
is	0.002883	0.107447	0.030642	0.046114	0.028112	0.021242	0.019721	0.065850	0.006771	0.002598	0.000314	0.001955	0.001245	0.011258	0.653849
at	0.001764	0.006765	0.013657	0.013473	0.010243	0.013236	0.085874	0.017525	0.018287	0.002504	0.000197	0.001721	0.000807	0.002880	0.811065
a	0.003338	0.004588	0.028941	0.037415	0.086815	0.026269	0.055349	0.019761	0.016873	0.004721	0.001325	0.001523	0.004227	0.013957	0.694899
diner	0.001106	0.000804	0.004059	0.006107	0.003391	0.000457	0.003002	0.002049	0.005376	0.000321	0.000428	0.002328	0.000542	0.004081	0.965950
,	0.002355	0.015105	0.003911	0.012885	0.004930	0.003715	0.003215	0.017965	0.009694	0.004954	0.000646	0.001425	0.001221	0.015079	0.902901
ordering	0.002233	0.002221	0.002488	0.004096	0.003457	0.001529	0.005177	0.009554	0.085463	0.020942	0.006507	0.009153	0.006263	0.006666	0.834251
an	0.001841	0.001157	0.004540	0.005419	0.013526	0.001180	0.006454	0.008095	0.559566	0.034176	0.016097	0.035887	0.046189	0.011106	0.254768
o	0.000152	0.000135	0.000579	0.000227	0.000079	0.000013	0.000768	0.000646	0.025277	0.001229	0.004968	0.907761	0.017284	0.001402	0.039481
##mel	0.000564	0.000964	0.000981	0.000312	0.000554	0.000114	0.003319	0.001208	0.024408	0.002627	0.068760	0.108749	0.163978	0.004292	0.619168
##ette	0.001931	0.001239	0.009696	0.007032	0.004413	0.000268	0.018830	0.002770	0.111328	0.004950	0.017527	0.289247	0.005250	0.010318	0.515200
.	0.003996	0.007772	0.007963	0.011480	0.003271	0.002006	0.001922	0.006959	0.011405	0.003994	0.000757	0.001258	0.002145	0.017843	0.917227
[SEP]	0.004760	0.002379	0.003145	0.003222	0.002116	0.001076	0.002484	0.002707	0.004312	0.001311	0.000916	0.001258	0.000911	0.006964	0.962439
