TOKEN	[CLS]	A	person	is	at	a	diner	,	ordering	an	o	##mel	##ette	.	[SEP]
[CLS]	0.148879	0.012857	0.060694	0.105049	0.027416	0.010212	0.071270	0.009276	0.030555	0.010209	0.005147	0.020691	0.008933	0.007396	0.471417
A	0.032407	0.035000	0.405594	0.053108	0.029401	0.025225	0.153691	0.017272	0.033719	0.013122	0.048476	0.006176	0.020564	0.011912	0.114333
person	0.137304	0.067572	0.043107	0.025940	0.016522	0.031529	0.049781	0.039470	0.016388	0.027521	0.020774	0.031062	0.062923	0.038608	0.391499
is	0.077232	0.051462	0.322820	0.118001	0.088076	0.022596	0.068661	0.022142	0.033111	0.014607	0.005036	0.014962	0.013754	0.013411	0.134130
at	0.083393	0.056166	0.258218	0.023818	0.011336	0.032393	0.080129	0.014757	0.048505	0.024457	0.023628	0.015782	0.021782	0.025711	0.279925
a	0.065692	0.030577	0.361673	0.093728	0.063049	0.019457	0.095163	0.018550	0.027707	0.013052	0.016636	0.004645	0.007205	0.015445	0.167422
diner	0.066713	0.023273	0.038526	0.032368	0.093622	0.030660	0.144364	0.011340	0.047078	0.020265	0.009619	0.085344	0.026419	0.026863	0.343547
,	0.170750	0.034175	0.157661	0.061537	0.066436	0.019167	0.112285	0.021352	0.057556	0.009224	0.005020	0.010344	0.012882	0.032976	0.228635
ordering	0.023074	0.021270	0.025250	0.002499	0.013130	0.025698	0.023146	0.010872	0.005036	0.030244	0.009289	0.011397	0.004016	0.013693	0.781385
an	0.073991	0.067820	0.197286	0.113149	0.072912	0.027566	0.076454	0.024843	0.035156	0.017601	0.031362	0.015093	0.021648	0.039372	0.185749
o	0.016140	0.021207	0.002660	0.005258	0.003955	0.012232	0.008172	0.032880	0.008215	0.019924	0.001642	0.048591	0.040550	0.101569	0.677005
##mel	0.018439	0.014061	0.006617	0.000969	0.009872	0.007475	0.004167	0.005567	0.001117	0.008278	0.003451	0.003115	0.010817	0.046191	0.859863
##ette	0.045270	0.018017	0.044340	0.011967	0.005854	0.019394	0.096604	0.021902	0.029109	0.010048	0.030628	0.096794	0.016627	0.076158	0.477287
.	0.120784	0.058052	0.113503	0.102958	0.066420	0.035717	0.108652	0.038057	0.060000	0.018974	0.012857	0.006558	0.022751	0.019971	0.214746
[SEP]	0.006201	0.002681	0.000319	0.000278	0.000614	0.004651	0.000867	0.014020	0.000543	0.005371	0.002090	0.001000	0.002786	0.036248	0.922329
