TOKEN	[CLS]	A	person	is	at	a	diner	,	ordering	an	o	##mel	##ette	.	[SEP]
[CLS]	0.064778	0.018734	0.063356	0.008238	0.006910	0.013700	0.032605	0.008789	0.001429	0.001573	0.002824	0.000789	0.006285	0.021570	0.748420
A	0.002827	0.020389	0.043960	0.149520	0.073883	0.127983	0.041799	0.031141	0.022642	0.023687	0.004816	0.002591	0.014254	0.214685	0.225823
person	0.009967	0.016756	0.015367	0.066414	0.032735	0.049210	0.050681	0.006778	0.013102	0.018601	0.010953	0.002856	0.007492	0.135567	0.563522
is	0.007629	0.025406	0.127967	0.033414	0.024889	0.034374	0.077543	0.119610	0.027711	0.014596	0.002028	0.001186	0.005723	0.184715	0.313207
at	0.009917	0.008750	0.004681	0.010805	0.063512	0.027178	0.025700	0.346002	0.137192	0.016706	0.000352	0.000281	0.000575	0.110510	0.237839
a	0.008815	0.023507	0.017043	0.015865	0.025731	0.054570	0.047357	0.245991	0.051843	0.030555	0.001816	0.001051	0.004200	0.191670	0.279986
diner	0.037099	0.019779	0.004468	0.015401	0.012029	0.038454	0.051956	0.034767	0.021996	0.031227	0.008046	0.005698	0.008073	0.053226	0.657782
,	0.008949	0.020219	0.014401	0.010798	0.014900	0.009695	0.017509	0.039772	0.037597	0.017692	0.002259	0.001096	0.011983	0.180971	0.612159
ordering	0.012349	0.015778	0.013406	0.021441	0.032724	0.012270	0.014517	0.033860	0.107834	0.075411	0.003058	0.004336	0.015671	0.135602	0.501741
an	0.006225	0.010670	0.005753	0.005385	0.009599	0.010759	0.015714	0.022973	0.092002	0.161139	0.021103	0.015604	0.067702	0.153166	0.402207
o	0.013970	0.011581	0.003053	0.002806	0.002588	0.009416	0.027909	0.003453	0.015529	0.054164	0.143040	0.017983	0.054780	0.098272	0.541454
##mel	0.006618	0.007882	0.001203	0.008339	0.005768	0.004898	0.010670	0.001830	0.030135	0.018251	0.016987	0.018262	0.004836	0.025108	0.839215
##ette	0.013513	0.010989	0.003669	0.003872	0.002759	0.005701	0.018560	0.013603	0.028486	0.090890	0.056672	0.020992	0.078211	0.067332	0.584752
.	0.008420	0.035532	0.033322	0.029892	0.012026	0.013886	0.024104	0.028604	0.013681	0.009679	0.004482	0.003143	0.020406	0.072154	0.690669
[SEP]	0.010754	0.007416	0.005786	0.011223	0.010523	0.008125	0.023792	0.004228	0.012971	0.007203	0.007044	0.013407	0.009652	0.008166	0.859708
