TOKEN	[CLS]	A	person	is	at	a	diner	,	ordering	an	o	##mel	##ette	.	[SEP]
[CLS]	0.149553	0.020820	0.043919	0.038210	0.023110	0.020982	0.035718	0.048735	0.041418	0.023642	0.012315	0.018135	0.035139	0.134540	0.353763
A	0.014373	0.023459	0.208429	0.453792	0.017814	0.017435	0.036716	0.043999	0.029536	0.005473	0.002516	0.003491	0.002265	0.051742	0.088958
person	0.025724	0.122031	0.034719	0.101114	0.124586	0.053003	0.114995	0.115838	0.105517	0.015730	0.003587	0.007116	0.001702	0.060410	0.113929
is	0.020172	0.091078	0.103711	0.051637	0.029888	0.070867	0.032765	0.192554	0.189466	0.015221	0.002572	0.000934	0.011516	0.119535	0.068083
at	0.070220	0.057239	0.028649	0.065584	0.006642	0.164635	0.054577	0.188422	0.146093	0.015991	0.009833	0.002435	0.006507	0.064282	0.118892
a	0.132181	0.008645	0.075928	0.042029	0.018515	0.043547	0.149527	0.176086	0.055936	0.018304	0.013552	0.019692	0.046277	0.096162	0.103618
diner	0.192480	0.039060	0.011785	0.018199	0.121797	0.153289	0.065463	0.065559	0.042684	0.135848	0.015365	0.007634	0.013622	0.038723	0.078492
,	0.029833	0.011391	0.025469	0.032699	0.016901	0.019496	0.025428	0.098223	0.179098	0.052532	0.008315	0.007048	0.023723	0.278374	0.191468
ordering	0.040192	0.009444	0.004171	0.007289	0.022806	0.012999	0.061917	0.119954	0.030102	0.088454	0.010816	0.004327	0.085192	0.457568	0.044768
an	0.098884	0.001325	0.026851	0.006171	0.000917	0.002906	0.029881	0.060895	0.031851	0.022236	0.028483	0.011902	0.216214	0.414813	0.046672
o	0.240490	0.001684	0.001899	0.000802	0.000754	0.001531	0.004073	0.008686	0.005479	0.006881	0.029002	0.376428	0.168285	0.046941	0.107065
##mel	0.416686	0.009053	0.002848	0.001597	0.001224	0.003628	0.001045	0.012629	0.002032	0.010114	0.057673	0.012278	0.190513	0.037943	0.240736
##ette	0.319559	0.034307	0.032731	0.003202	0.001111	0.031282	0.019565	0.012731	0.037350	0.210844	0.160464	0.006705	0.019269	0.052043	0.058837
.	0.136488	0.020518	0.014620	0.018193	0.009143	0.021899	0.024717	0.033337	0.030653	0.050110	0.036633	0.016369	0.019342	0.214302	0.353678
[SEP]	0.327263	0.010162	0.002295	0.002458	0.003184	0.008598	0.003686	0.017741	0.002581	0.003973	0.003797	0.004098	0.008042	0.040681	0.561442
