TOKEN	[CLS]	A	person	is	at	a	diner	,	ordering	an	o	##mel	##ette	.	[SEP]
[CLS]	0.793098	0.009486	0.007906	0.005960	0.008746	0.015844	0.009886	0.029044	0.008910	0.016191	0.005614	0.006596	0.006871	0.028536	0.047311
A	0.081362	0.102590	0.084297	0.056167	0.037889	0.101061	0.061391	0.104622	0.047920	0.096578	0.041480	0.023192	0.031629	0.081480	0.048343
person	0.038463	0.096502	0.207431	0.138299	0.055448	0.040206	0.112540	0.039883	0.090877	0.033348	0.029285	0.014909	0.028948	0.026911	0.046951
is	0.051290	0.129508	0.118042	0.082963	0.036999	0.067383	0.111999	0.068387	0.067378	0.048242	0.037548	0.015822	0.049020	0.065133	0.050285
at	0.081254	0.077715	0.099355	0.047545	0.024418	0.093702	0.085184	0.142250	0.038244	0.065380	0.036370	0.014393	0.031491	0.097529	0.065170
a	0.052902	0.114521	0.049568	0.054496	0.073692	0.101700	0.044646	0.120915	0.042042	0.087113	0.048846	0.012894	0.032115	0.098689	0.065863
diner	0.076482	0.091168	0.117544	0.117621	0.032720	0.081148	0.097055	0.057012	0.069068	0.050147	0.022097	0.010315	0.044000	0.058303	0.075320
,	0.061212	0.081754	0.040313	0.058946	0.045916	0.099226	0.032532	0.151215	0.048605	0.068008	0.036596	0.016141	0.031075	0.122336	0.106124
ordering	0.134402	0.184477	0.046985	0.019716	0.027604	0.116522	0.011451	0.129476	0.005819	0.061468	0.012799	0.004245	0.015065	0.084306	0.145665
an	0.084838	0.109152	0.032880	0.040240	0.061769	0.128888	0.025212	0.144301	0.029498	0.082999	0.034588	0.010069	0.030027	0.111478	0.074060
o	0.248318	0.075702	0.031481	0.037224	0.026558	0.099525	0.017754	0.171141	0.014791	0.050465	0.011241	0.006424	0.020831	0.110815	0.077731
##mel	0.717832	0.022705	0.006556	0.004602	0.002165	0.050190	0.004485	0.061842	0.002576	0.025714	0.003423	0.000532	0.006516	0.036192	0.054670
##ette	0.213053	0.070570	0.023579	0.017829	0.015431	0.120868	0.043978	0.120425	0.017371	0.086222	0.013838	0.006628	0.017046	0.082810	0.150353
.	0.061382	0.054485	0.030257	0.048924	0.042672	0.110227	0.042412	0.136053	0.048337	0.081556	0.044606	0.022941	0.032059	0.091967	0.152120
[SEP]	0.572273	0.012160	0.004143	0.005570	0.011869	0.028913	0.004459	0.065928	0.004513	0.022034	0.004158	0.001406	0.004749	0.044976	0.212848
