TOKEN	[CLS]	A	person	is	at	a	diner	,	ordering	an	o	##mel	##ette	.	[SEP]
[CLS]	0.692319	0.003112	0.000771	0.006399	0.005110	0.002956	0.000861	0.072781	0.000738	0.004020	0.003762	0.002107	0.002781	0.083616	0.118667
A	0.792492	0.005219	0.012819	0.021266	0.005960	0.015523	0.002035	0.028267	0.008156	0.011064	0.005243	0.002686	0.003613	0.042789	0.042868
person	0.249215	0.016158	0.049842	0.021369	0.038371	0.006298	0.106283	0.017931	0.283532	0.003260	0.014800	0.041616	0.029318	0.023329	0.098679
is	0.768699	0.006934	0.037641	0.020481	0.013670	0.018094	0.006105	0.021495	0.020818	0.008487	0.008397	0.003289	0.001363	0.031269	0.033259
at	0.632547	0.006772	0.017522	0.030475	0.002371	0.013047	0.027670	0.021831	0.028101	0.009163	0.005882	0.009280	0.004663	0.036147	0.154529
a	0.737739	0.005104	0.008678	0.030675	0.011626	0.011825	0.002270	0.049681	0.008159	0.009676	0.005361	0.002532	0.004287	0.071747	0.040640
diner	0.757308	0.003339	0.000630	0.016957	0.005279	0.001746	0.000928	0.055011	0.002916	0.001162	0.002249	0.001221	0.003088	0.118665	0.029502
,	0.628283	0.016305	0.002889	0.012462	0.006242	0.052679	0.001042	0.055026	0.005729	0.032202	0.004741	0.000908	0.004001	0.095738	0.081752
ordering	0.623169	0.001181	0.026158	0.020046	0.017168	0.001413	0.088757	0.048607	0.014988	0.003114	0.001661	0.005528	0.023290	0.047559	0.077362
an	0.678116	0.012731	0.002977	0.021394	0.014038	0.021092	0.001353	0.068235	0.005816	0.004252	0.010534	0.004622	0.004621	0.114713	0.035507
o	0.474194	0.003686	0.000304	0.007413	0.007013	0.004619	0.001410	0.097559	0.000810	0.008659	0.002238	0.004954	0.019894	0.173222	0.194023
##mel	0.542786	0.000813	0.000287	0.003185	0.006724	0.000825	0.000410	0.188400	0.000815	0.001774	0.016357	0.003167	0.001808	0.201176	0.031472
##ette	0.499409	0.001463	0.000247	0.005281	0.003889	0.003555	0.005074	0.119903	0.012876	0.013496	0.004469	0.038151	0.000352	0.173005	0.118828
.	0.406538	0.034531	0.004572	0.024134	0.014848	0.091219	0.002767	0.094495	0.007662	0.074639	0.011107	0.002452	0.008838	0.148876	0.073321
[SEP]	0.004784	0.044642	0.000077	0.000651	0.000570	0.708172	0.000065	0.008571	0.000345	0.215819	0.000486	0.000035	0.000386	0.013971	0.001427
