TOKEN	[CLS]	A	person	is	at	a	diner	,	ordering	an	o	##mel	##ette	.	[SEP]
[CLS]	0.020146	0.007826	0.065709	0.004200	0.005543	0.024288	0.021111	0.001895	0.001919	0.000711	0.001558	0.000158	0.003133	0.009405	0.832396
A	0.004458	0.086185	0.225131	0.021639	0.015472	0.205890	0.026152	0.040081	0.009649	0.035385	0.023244	0.005452	0.022214	0.049707	0.229341
person	0.003967	0.011675	0.035016	0.006475	0.004011	0.007110	0.036048	0.003613	0.003186	0.001934	0.010098	0.007691	0.010577	0.017538	0.841061
is	0.003898	0.043602	0.161465	0.014137	0.021132	0.129743	0.092988	0.031673	0.010977	0.013437	0.008479	0.002424	0.014549	0.023988	0.427507
at	0.002353	0.012800	0.060294	0.005752	0.005462	0.016748	0.058927	0.014696	0.006497	0.002298	0.002709	0.001599	0.004645	0.008413	0.796808
a	0.003683	0.064112	0.186561	0.013795	0.006226	0.045621	0.071054	0.026341	0.011881	0.009924	0.012351	0.005096	0.010815	0.029595	0.502946
diner	0.000955	0.001583	0.014742	0.001167	0.001002	0.002034	0.031236	0.002423	0.001317	0.000824	0.001667	0.001718	0.003451	0.001960	0.933921
,	0.006992	0.053561	0.125590	0.024195	0.007459	0.023284	0.270305	0.038755	0.025724	0.013623	0.026261	0.015369	0.082405	0.039197	0.247279
ordering	0.001670	0.002658	0.013954	0.002254	0.002432	0.003550	0.037226	0.001637	0.002459	0.001303	0.002242	0.001557	0.004830	0.004153	0.918075
an	0.006020	0.033720	0.096372	0.013404	0.007833	0.030643	0.043399	0.024984	0.010601	0.009373	0.011470	0.007661	0.015671	0.021395	0.667452
o	0.001516	0.003307	0.036013	0.003702	0.001387	0.003044	0.086156	0.006506	0.004784	0.001869	0.014574	0.020669	0.035050	0.005158	0.776264
##mel	0.000373	0.000837	0.008800	0.001314	0.000299	0.000270	0.012097	0.001448	0.001047	0.000508	0.003994	0.003036	0.004668	0.001979	0.959328
##ette	0.002632	0.003205	0.034588	0.002992	0.002966	0.001572	0.055256	0.006179	0.003756	0.001205	0.007715	0.009871	0.007064	0.005895	0.855104
.	0.006813	0.029563	0.043418	0.014197	0.012108	0.022524	0.025074	0.032568	0.011646	0.011904	0.010191	0.003369	0.019507	0.020179	0.736939
[SEP]	0.013833	0.004535	0.003620	0.005279	0.004107	0.003856	0.004888	0.004654	0.004001	0.004376	0.003427	0.002310	0.004199	0.011978	0.924937
