TOKEN	[CLS]	A	person	is	at	a	diner	,	ordering	an	o	##mel	##ette	.	[SEP]
[CLS]	0.037148	0.043929	0.013868	0.008341	0.010154	0.004509	0.008396	0.005122	0.006299	0.003746	0.000840	0.001125	0.002868	0.026135	0.827520
A	0.035727	0.016480	0.314195	0.015362	0.003804	0.001909	0.013134	0.000793	0.000612	0.000390	0.000614	0.000217	0.001055	0.004906	0.590801
person	0.059903	0.010930	0.008925	0.178377	0.035855	0.005747	0.005093	0.011383	0.002528	0.000310	0.000348	0.000529	0.000744	0.004938	0.674391
is	0.021162	0.002744	0.002631	0.007608	0.861321	0.009269	0.001055	0.005764	0.002433	0.000633	0.000131	0.000042	0.000299	0.002048	0.082859
at	0.017640	0.011741	0.017019	0.002687	0.014713	0.340563	0.326608	0.005994	0.005577	0.009702	0.004446	0.000462	0.000412	0.001735	0.240701
a	0.047610	0.001011	0.031221	0.003797	0.005898	0.008970	0.536951	0.009097	0.004067	0.000809	0.002915	0.000545	0.000958	0.001222	0.344929
diner	0.021350	0.000827	0.001162	0.005234	0.001762	0.000991	0.001774	0.021470	0.004914	0.001810	0.000225	0.000100	0.000519	0.003329	0.934534
,	0.073042	0.004601	0.001520	0.000811	0.006074	0.002024	0.009914	0.020791	0.305833	0.004103	0.001263	0.008380	0.008472	0.003534	0.549640
ordering	0.022339	0.002081	0.001354	0.001543	0.000582	0.001153	0.003209	0.015235	0.009670	0.153343	0.011137	0.001279	0.007218	0.096568	0.673289
an	0.034488	0.000350	0.002801	0.000128	0.000124	0.000098	0.008482	0.001870	0.005839	0.020543	0.310679	0.008494	0.038357	0.032324	0.535422
o	0.071707	0.000562	0.000366	0.000182	0.000054	0.000017	0.000499	0.000477	0.011179	0.002096	0.004887	0.788839	0.004684	0.001992	0.112461
##mel	0.019852	0.001450	0.000288	0.000470	0.000147	0.000086	0.001712	0.001703	0.003056	0.009246	0.003665	0.003313	0.724196	0.063232	0.167585
##ette	0.022972	0.007659	0.001266	0.002155	0.000392	0.000464	0.002802	0.001193	0.010923	0.019213	0.001441	0.000148	0.007402	0.338783	0.583189
.	0.011236	0.013658	0.003521	0.000386	0.000152	0.000204	0.000657	0.000302	0.000534	0.001174	0.000775	0.001001	0.006612	0.054148	0.905641
[SEP]	0.007871	0.011208	0.013998	0.004198	0.005038	0.012369	0.023866	0.010798	0.005246	0.016746	0.003638	0.003807	0.013366	0.043505	0.824346
