TOKEN	[CLS]	A	person	is	at	a	diner	,	ordering	an	o	##mel	##ette	.	[SEP]
[CLS]	0.020356	0.012059	0.015993	0.015266	0.006440	0.006490	0.018733	0.028447	0.019477	0.012162	0.002615	0.001883	0.018538	0.056360	0.765180
A	0.013430	0.027706	0.006195	0.014973	0.005875	0.000459	0.001040	0.002223	0.004553	0.000972	0.000234	0.000047	0.000810	0.030224	0.891259
person	0.043775	0.264133	0.039315	0.071670	0.035049	0.006406	0.003504	0.005202	0.010016	0.002173	0.000274	0.000279	0.003480	0.068579	0.446146
is	0.029214	0.060759	0.034597	0.032440	0.038243	0.003839	0.006337	0.004051	0.001742	0.000497	0.000152	0.000019	0.003874	0.074178	0.710057
at	0.011458	0.049956	0.053015	0.509039	0.115247	0.015993	0.002944	0.005569	0.006797	0.000443	0.000158	0.000161	0.000493	0.011364	0.217365
a	0.046539	0.012516	0.037631	0.116738	0.292262	0.035040	0.030846	0.013220	0.017505	0.000696	0.000233	0.000173	0.001528	0.015558	0.379514
diner	0.080690	0.008678	0.087241	0.033615	0.165555	0.074302	0.039893	0.007535	0.011028	0.000781	0.000564	0.000123	0.006820	0.008979	0.474198
,	0.016060	0.004987	0.012912	0.122523	0.050321	0.042407	0.032892	0.042570	0.008400	0.000920	0.000656	0.000127	0.002418	0.009792	0.653015
ordering	0.013835	0.002466	0.003693	0.045972	0.014169	0.009137	0.016549	0.486941	0.033240	0.014629	0.010055	0.002203	0.005347	0.026662	0.315103
an	0.006161	0.000416	0.000804	0.003271	0.008065	0.001147	0.005813	0.056195	0.835880	0.012389	0.002229	0.001073	0.007898	0.007854	0.050804
o	0.023000	0.006583	0.003394	0.004720	0.004213	0.003550	0.011054	0.105232	0.295361	0.202741	0.011405	0.012438	0.094026	0.041893	0.180390
##mel	0.043403	0.004927	0.004668	0.001227	0.000955	0.001989	0.003185	0.025553	0.023891	0.067242	0.051770	0.003555	0.048075	0.043380	0.676180
##ette	0.030200	0.001566	0.002194	0.001642	0.004975	0.002150	0.013036	0.031373	0.525258	0.259074	0.005127	0.002714	0.050634	0.029774	0.040282
.	0.030807	0.004248	0.004905	0.004556	0.002050	0.001559	0.006656	0.035628	0.096539	0.066900	0.019620	0.010005	0.035607	0.175826	0.505093
[SEP]	0.004367	0.030259	0.001365	0.012390	0.003204	0.008503	0.001238	0.006951	0.005142	0.008980	0.001847	0.000469	0.000613	0.020668	0.894004
