TOKEN	[CLS]	A	person	is	at	a	diner	,	ordering	an	o	##mel	##ette	.	[SEP]
[CLS]	0.020411	0.012096	0.017497	0.004208	0.000739	0.001548	0.000403	0.002361	0.001798	0.000450	0.000045	0.000072	0.000225	0.065581	0.872566
A	0.014653	0.061141	0.014096	0.016163	0.010111	0.001422	0.000942	0.003436	0.005367	0.001585	0.000083	0.000087	0.002160	0.010819	0.857934
person	0.035958	0.348443	0.026195	0.043653	0.029073	0.007377	0.000762	0.002040	0.004782	0.002028	0.000045	0.000063	0.000343	0.005638	0.493601
is	0.013969	0.096993	0.061249	0.068970	0.017739	0.016640	0.001546	0.002198	0.001678	0.000749	0.000055	0.000219	0.000228	0.022659	0.695107
at	0.013195	0.015763	0.013546	0.298447	0.021060	0.012952	0.002445	0.016491	0.000737	0.000331	0.000016	0.000012	0.000041	0.008591	0.596374
a	0.008263	0.003199	0.001680	0.074962	0.777764	0.011583	0.001828	0.005786	0.004036	0.000168	0.000011	0.000013	0.000064	0.002962	0.107681
diner	0.025684	0.016991	0.005476	0.024216	0.308296	0.268606	0.009662	0.005042	0.004676	0.003787	0.000126	0.000103	0.000184	0.000943	0.326207
,	0.018301	0.004118	0.002426	0.008541	0.039851	0.013039	0.013983	0.154975	0.011674	0.002622	0.000495	0.000450	0.000982	0.008662	0.719882
ordering	0.009812	0.000753	0.000858	0.003571	0.001039	0.001197	0.002113	0.700572	0.021182	0.004140	0.000459	0.000498	0.000804	0.007356	0.245648
an	0.013264	0.000905	0.000597	0.006238	0.019790	0.001132	0.002090	0.151321	0.459858	0.019747	0.001766	0.000788	0.004166	0.016186	0.302155
o	0.020858	0.002181	0.000597	0.004335	0.016031	0.003669	0.001274	0.054180	0.326243	0.371764	0.001985	0.000565	0.004875	0.003046	0.188396
##mel	0.010641	0.002917	0.000516	0.003247	0.004693	0.003726	0.003019	0.032473	0.060076	0.103735	0.079700	0.003221	0.002367	0.014408	0.675260
##ette	0.027754	0.002668	0.000505	0.003959	0.022457	0.009938	0.002378	0.058111	0.216569	0.318688	0.008523	0.013001	0.013624	0.020177	0.281648
.	0.028467	0.025645	0.003391	0.006209	0.003732	0.002869	0.002788	0.019134	0.007488	0.013862	0.003546	0.002612	0.008350	0.105056	0.766851
[SEP]	0.011923	0.015976	0.007201	0.011292	0.009783	0.011663	0.007424	0.006631	0.004802	0.011274	0.009120	0.005172	0.005342	0.004733	0.877665
