TOKEN	[CLS]	A	person	is	at	a	diner	,	ordering	an	o	##mel	##ette	.	[SEP]
[CLS]	0.018911	0.124056	0.168308	0.179536	0.016521	0.030757	0.013872	0.032270	0.012431	0.031078	0.014310	0.001001	0.017745	0.193625	0.145577
A	0.024598	0.069859	0.085757	0.118496	0.008340	0.008507	0.028544	0.030461	0.014878	0.006092	0.003075	0.000383	0.007382	0.019194	0.574436
person	0.023469	0.016503	0.135178	0.043823	0.014715	0.002581	0.118290	0.007818	0.035217	0.002256	0.003261	0.002174	0.005152	0.009334	0.580228
is	0.013111	0.016182	0.022651	0.161152	0.048760	0.009114	0.038515	0.029750	0.035353	0.003770	0.000907	0.000298	0.002163	0.007604	0.610670
at	0.004936	0.001754	0.009290	0.019491	0.050511	0.006365	0.200371	0.016393	0.081366	0.002305	0.001372	0.000792	0.003496	0.004571	0.596988
a	0.006233	0.003091	0.011946	0.025456	0.025481	0.005700	0.291030	0.010116	0.066765	0.003579	0.001843	0.000633	0.003896	0.004342	0.539889
diner	0.003403	0.000628	0.003931	0.002134	0.004888	0.000658	0.103915	0.001059	0.035680	0.000843	0.003122	0.018150	0.005365	0.003307	0.812917
,	0.004935	0.007654	0.024814	0.045760	0.037728	0.004457	0.069708	0.021802	0.084379	0.005254	0.001935	0.000854	0.006822	0.004066	0.679832
ordering	0.001868	0.000216	0.002389	0.001461	0.003140	0.000186	0.065212	0.000412	0.112350	0.001486	0.002636	0.005680	0.004305	0.001114	0.797545
an	0.008802	0.001378	0.008548	0.003853	0.004434	0.000591	0.179129	0.002425	0.190551	0.014693	0.018708	0.024081	0.055748	0.004839	0.482220
o	0.002781	0.000544	0.002280	0.000635	0.000380	0.000074	0.049607	0.000194	0.022600	0.001809	0.043534	0.288241	0.043338	0.002596	0.541386
##mel	0.001319	0.000057	0.000312	0.000120	0.000055	0.000011	0.026405	0.000046	0.005529	0.000244	0.013730	0.289027	0.009984	0.000589	0.652571
##ette	0.002713	0.000244	0.002154	0.000830	0.001983	0.000121	0.083845	0.000460	0.083180	0.001248	0.018285	0.192104	0.054927	0.003577	0.554329
.	0.013858	0.011936	0.015110	0.020019	0.003767	0.004344	0.016139	0.013517	0.012000	0.004152	0.002029	0.000879	0.003623	0.026119	0.852507
[SEP]	0.001430	0.000854	0.001052	0.000598	0.000146	0.000184	0.001186	0.000407	0.000591	0.000235	0.000259	0.000577	0.000303	0.001121	0.991056
