TOKEN	[CLS]	A	person	is	at	a	diner	,	ordering	an	o	##mel	##ette	.	[SEP]
[CLS]	0.006281	0.244427	0.109425	0.035667	0.071075	0.047865	0.016130	0.067610	0.012666	0.044620	0.031256	0.041429	0.044052	0.193022	0.034475
A	0.004764	0.007415	0.018565	0.060114	0.018821	0.083996	0.084405	0.130631	0.021512	0.194725	0.029495	0.041107	0.067723	0.218497	0.018228
person	0.062588	0.029036	0.020186	0.067112	0.030507	0.086469	0.089649	0.140888	0.017044	0.076581	0.049623	0.050348	0.060557	0.153048	0.066364
is	0.013073	0.038028	0.024632	0.021173	0.030216	0.100043	0.104299	0.124533	0.026794	0.139446	0.051385	0.033199	0.124026	0.122107	0.047046
at	0.016362	0.038082	0.026699	0.033509	0.024365	0.084608	0.056300	0.186849	0.013936	0.137523	0.042999	0.026272	0.061561	0.170957	0.079980
a	0.018831	0.040567	0.051797	0.083067	0.031423	0.062632	0.156007	0.086488	0.035298	0.086986	0.050581	0.070937	0.059331	0.110332	0.055721
diner	0.084068	0.049021	0.039379	0.155886	0.034288	0.074140	0.025687	0.120344	0.017302	0.041524	0.046224	0.029222	0.016623	0.154747	0.111546
,	0.016244	0.049344	0.029707	0.046001	0.038701	0.047546	0.197028	0.044200	0.023353	0.079412	0.089276	0.137668	0.076304	0.059559	0.065658
ordering	0.006634	0.059856	0.016128	0.035780	0.041859	0.072370	0.028164	0.132045	0.004745	0.128087	0.116111	0.047029	0.027177	0.088552	0.195462
an	0.006494	0.046461	0.030726	0.057435	0.031671	0.079890	0.086316	0.118532	0.021224	0.123438	0.093853	0.060937	0.042339	0.122067	0.078618
o	0.012303	0.041146	0.030369	0.057764	0.033291	0.103692	0.031767	0.145002	0.015227	0.097866	0.015238	0.009744	0.022971	0.291008	0.092612
##mel	0.098883	0.029304	0.013627	0.070038	0.037481	0.073620	0.008964	0.177842	0.012176	0.084752	0.037502	0.009060	0.015956	0.224719	0.106079
##ette	0.004583	0.073954	0.055999	0.089486	0.053755	0.080276	0.013785	0.151696	0.011778	0.081794	0.029173	0.016022	0.007401	0.152716	0.177584
.	0.008936	0.049351	0.068315	0.058740	0.035525	0.041036	0.283100	0.041163	0.050854	0.038887	0.048369	0.097077	0.051361	0.077339	0.049947
[SEP]	0.083971	0.017004	0.015353	0.021006	0.011229	0.005381	0.031364	0.004878	0.021149	0.007013	0.011977	0.022397	0.007406	0.010661	0.729211
