TOKEN	[CLS]	A	person	is	at	a	diner	,	ordering	an	o	##mel	##ette	.	[SEP]
[CLS]	0.025478	0.359499	0.072876	0.209142	0.008464	0.012867	0.003915	0.088112	0.013926	0.005189	0.001133	0.000105	0.001272	0.181212	0.016810
A	0.215864	0.400096	0.059238	0.059156	0.004436	0.014048	0.003573	0.018999	0.001562	0.000890	0.000283	0.000216	0.000241	0.037438	0.183961
person	0.136251	0.081896	0.073671	0.020755	0.002761	0.003915	0.002365	0.008371	0.001269	0.001402	0.000284	0.000258	0.000407	0.042738	0.623659
is	0.200543	0.106912	0.065244	0.095991	0.076979	0.048040	0.027471	0.034860	0.013368	0.003423	0.001232	0.000740	0.001363	0.016947	0.306889
at	0.031402	0.023750	0.033714	0.041290	0.022908	0.033318	0.027180	0.027161	0.009826	0.001048	0.001459	0.001147	0.001312	0.012845	0.731639
a	0.079983	0.145040	0.063667	0.077449	0.021993	0.068799	0.014629	0.016064	0.004369	0.001475	0.000665	0.000902	0.000442	0.011105	0.493418
diner	0.002079	0.003626	0.004848	0.002026	0.000465	0.000506	0.000824	0.000541	0.000257	0.000111	0.000097	0.000113	0.000082	0.002344	0.982081
,	0.054774	0.159812	0.151622	0.090848	0.016100	0.020218	0.014377	0.030917	0.008881	0.003602	0.001743	0.000968	0.002804	0.015469	0.427866
ordering	0.004683	0.003279	0.009591	0.002677	0.000852	0.001772	0.004536	0.001711	0.001713	0.000656	0.000344	0.000161	0.000717	0.003781	0.963526
an	0.031943	0.036547	0.038963	0.039557	0.014474	0.033976	0.030639	0.011924	0.017768	0.015600	0.003547	0.003152	0.004774	0.013091	0.704045
o	0.000465	0.000489	0.000859	0.000546	0.000150	0.000182	0.000354	0.000146	0.000104	0.000128	0.000039	0.000042	0.000052	0.000409	0.996036
##mel	0.000090	0.000218	0.000208	0.000221	0.000093	0.000100	0.000319	0.000100	0.000112	0.000270	0.000108	0.000181	0.000142	0.000264	0.997573
##ette	0.001480	0.002020	0.001990	0.003088	0.000867	0.000826	0.001546	0.000872	0.001445	0.001234	0.000397	0.000413	0.000797	0.001955	0.981071
.	0.107591	0.260431	0.034915	0.037783	0.002595	0.005497	0.001562	0.007901	0.002897	0.002110	0.000590	0.000211	0.000464	0.023542	0.511912
[SEP]	0.001778	0.002239	0.002620	0.001611	0.000741	0.000882	0.000751	0.000738	0.000550	0.000684	0.000252	0.000191	0.000201	0.001939	0.984822
