TOKEN	[CLS]	A	person	is	at	a	diner	,	ordering	an	o	##mel	##ette	.	[SEP]
[CLS]	0.587419	0.011548	0.029028	0.012267	0.005871	0.005546	0.032783	0.009446	0.013200	0.003596	0.014538	0.018409	0.023576	0.014291	0.218481
A	0.207010	0.046761	0.104901	0.106498	0.028666	0.018061	0.062424	0.061133	0.038435	0.020065	0.015948	0.016213	0.038901	0.067707	0.167277
person	0.117856	0.098748	0.073270	0.082054	0.057122	0.014041	0.059029	0.040047	0.166015	0.007789	0.005070	0.043353	0.092936	0.063729	0.078943
is	0.150142	0.088900	0.163827	0.129731	0.013822	0.019118	0.050032	0.046848	0.024766	0.018412	0.006459	0.013996	0.013795	0.129011	0.131141
at	0.192404	0.060034	0.051154	0.065186	0.010007	0.053488	0.045718	0.040229	0.037535	0.043280	0.023556	0.005487	0.029009	0.060037	0.282877
a	0.262768	0.064573	0.079664	0.152257	0.019296	0.021871	0.033044	0.041131	0.020209	0.027663	0.006926	0.004812	0.012417	0.060407	0.192961
diner	0.176320	0.111242	0.081815	0.160445	0.029546	0.039653	0.027058	0.021062	0.053423	0.017801	0.011209	0.022043	0.049364	0.046712	0.152307
,	0.250449	0.055601	0.021757	0.016991	0.029340	0.032763	0.014739	0.080953	0.020735	0.026473	0.007614	0.005468	0.005860	0.101405	0.329852
ordering	0.217155	0.099092	0.018010	0.036158	0.009896	0.033659	0.003542	0.055643	0.003579	0.020437	0.011284	0.000889	0.002194	0.087165	0.401297
an	0.278037	0.094849	0.060328	0.071533	0.037827	0.024175	0.053636	0.035516	0.049999	0.021206	0.009127	0.016660	0.025921	0.044917	0.176270
o	0.255206	0.010882	0.019692	0.017301	0.010858	0.014070	0.027847	0.052931	0.023054	0.018392	0.025571	0.006742	0.011312	0.101798	0.404345
##mel	0.232753	0.009123	0.002067	0.002327	0.005696	0.019508	0.002154	0.054289	0.009987	0.019246	0.014232	0.000223	0.007120	0.090051	0.531223
##ette	0.283876	0.045800	0.035950	0.033790	0.010601	0.027107	0.050899	0.057293	0.012826	0.027556	0.067401	0.034285	0.007304	0.087434	0.217879
.	0.221476	0.035184	0.029541	0.009625	0.045698	0.026482	0.029285	0.101014	0.031118	0.020966	0.026545	0.009094	0.019662	0.121471	0.272838
[SEP]	0.309028	0.007496	0.002355	0.001492	0.007675	0.017775	0.001341	0.093022	0.002729	0.024175	0.007183	0.000527	0.002599	0.104621	0.417982
