TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.081093	0.106102	0.091188	0.079500	0.072429	0.086685	0.095976	0.076703	0.084786	0.069391	0.091268	0.064878
A	0.086086	0.099552	0.095559	0.086259	0.065522	0.073427	0.073384	0.082914	0.065093	0.069107	0.128013	0.075083
person	0.083312	0.096515	0.078501	0.082604	0.073494	0.097260	0.122524	0.073539	0.093905	0.059796	0.083118	0.055433
is	0.084434	0.123297	0.094622	0.090348	0.048791	0.081526	0.094195	0.083406	0.089101	0.058663	0.094890	0.056728
training	0.100694	0.107542	0.096573	0.106978	0.066947	0.075272	0.078099	0.090950	0.071259	0.056629	0.079730	0.069326
his	0.069072	0.092452	0.100679	0.072406	0.109177	0.074998	0.087382	0.082123	0.097797	0.059029	0.084362	0.070522
horse	0.085464	0.127187	0.104283	0.072371	0.078067	0.053626	0.084279	0.108047	0.068473	0.078605	0.091354	0.048244
for	0.076151	0.124193	0.075532	0.113468	0.060924	0.065083	0.091078	0.087978	0.052405	0.070783	0.108629	0.073776
a	0.073597	0.089837	0.110760	0.072064	0.074781	0.089895	0.132621	0.095040	0.074201	0.051179	0.079209	0.056817
competition	0.086517	0.098586	0.085775	0.088964	0.066168	0.089977	0.102762	0.081406	0.080899	0.057992	0.094528	0.066426
.	0.068275	0.099694	0.071790	0.086414	0.091459	0.080410	0.090915	0.091764	0.096842	0.056162	0.102482	0.063793
[SEP]	0.080496	0.133948	0.096474	0.083410	0.061290	0.069706	0.109649	0.084204	0.079198	0.064393	0.085509	0.051724
