TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.103066	0.090400	0.080616	0.075523	0.070002	0.120001	0.079635	0.093823	0.072933	0.066688	0.076799	0.070514
A	0.110105	0.107360	0.095256	0.087144	0.076086	0.092104	0.075446	0.067555	0.058611	0.072665	0.089462	0.068207
person	0.080976	0.091500	0.081700	0.069442	0.075224	0.120204	0.080833	0.084859	0.076810	0.062846	0.111876	0.063731
is	0.109419	0.109016	0.076442	0.097616	0.074014	0.071207	0.067832	0.071445	0.070679	0.080375	0.099706	0.072251
training	0.088362	0.089883	0.076616	0.113569	0.067957	0.061424	0.086217	0.087153	0.065264	0.078083	0.106094	0.079378
his	0.102362	0.083050	0.110812	0.073727	0.077549	0.088805	0.064861	0.084477	0.066345	0.073376	0.096647	0.077987
horse	0.115834	0.091461	0.102113	0.069748	0.060892	0.130821	0.061005	0.071085	0.056330	0.073765	0.098949	0.067997
for	0.113146	0.089319	0.084485	0.071305	0.084514	0.090693	0.068381	0.092820	0.070497	0.083181	0.078814	0.072846
a	0.107274	0.097507	0.088024	0.065953	0.064685	0.069579	0.089185	0.082854	0.064352	0.073883	0.108685	0.088021
competition	0.097734	0.098060	0.087596	0.102860	0.077581	0.070984	0.093292	0.076952	0.062601	0.062420	0.094864	0.075055
.	0.127826	0.081020	0.074113	0.089616	0.076865	0.100283	0.065631	0.065807	0.061582	0.086663	0.104349	0.066246
[SEP]	0.087946	0.082971	0.130173	0.088421	0.069232	0.086106	0.076929	0.064683	0.062446	0.068498	0.092838	0.089757
