TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.059712	0.080610	0.089691	0.094010	0.084720	0.063567	0.105991	0.092392	0.082338	0.065375	0.076346	0.105248
A	0.064530	0.079353	0.092343	0.063054	0.100865	0.096426	0.102226	0.063756	0.073524	0.074200	0.080156	0.109568
person	0.059264	0.071735	0.066702	0.122605	0.083945	0.045810	0.103352	0.097956	0.068523	0.085877	0.091726	0.102504
is	0.103650	0.079373	0.084869	0.070692	0.089206	0.064142	0.067256	0.062336	0.084224	0.095382	0.103078	0.095791
training	0.101828	0.102770	0.068496	0.107345	0.068816	0.063870	0.064329	0.075067	0.058040	0.073863	0.117725	0.097850
his	0.054825	0.070304	0.085170	0.087030	0.090832	0.089073	0.070760	0.112425	0.080216	0.095185	0.083528	0.080652
horse	0.091444	0.071258	0.055249	0.121489	0.064842	0.065534	0.088442	0.118113	0.075260	0.066742	0.083691	0.097937
for	0.079580	0.087069	0.077213	0.136153	0.064690	0.051957	0.080723	0.099977	0.085318	0.084370	0.081108	0.071841
a	0.104111	0.071347	0.094923	0.065078	0.134064	0.067792	0.058512	0.096714	0.077854	0.081411	0.071592	0.076601
competition	0.120328	0.101395	0.065465	0.117035	0.053458	0.050016	0.051360	0.060087	0.081839	0.111201	0.094896	0.092919
.	0.081583	0.090370	0.090807	0.108816	0.068122	0.054050	0.082767	0.084038	0.087067	0.097054	0.081717	0.073609
[SEP]	0.087848	0.078624	0.074582	0.103842	0.067062	0.057187	0.074634	0.069307	0.075759	0.109312	0.084096	0.117748
