TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.081036	0.113716	0.070382	0.076019	0.061586	0.089081	0.085274	0.094347	0.105495	0.066531	0.085887	0.070644
A	0.070350	0.096301	0.096731	0.068715	0.103314	0.100049	0.065559	0.097755	0.087076	0.072091	0.073847	0.068213
person	0.076378	0.095075	0.068136	0.080641	0.088448	0.108550	0.091900	0.103274	0.077625	0.059008	0.087064	0.063901
is	0.061634	0.089445	0.078545	0.082568	0.088032	0.093111	0.083823	0.130776	0.082096	0.069507	0.074297	0.066166
training	0.081557	0.088783	0.071994	0.072211	0.085670	0.101207	0.096270	0.116135	0.085387	0.057944	0.074718	0.068125
his	0.064008	0.100832	0.086365	0.074497	0.106318	0.072274	0.096818	0.102812	0.096358	0.056404	0.079985	0.063330
horse	0.073320	0.087991	0.077515	0.096640	0.080173	0.087276	0.091877	0.116171	0.081123	0.064998	0.078185	0.064729
for	0.068880	0.106478	0.085189	0.077959	0.080917	0.107909	0.087889	0.098243	0.099823	0.057247	0.067261	0.062204
a	0.071828	0.093540	0.080216	0.071037	0.077595	0.104892	0.099153	0.080827	0.105185	0.069949	0.084718	0.061059
competition	0.080397	0.108311	0.067016	0.075210	0.095933	0.123197	0.085729	0.069443	0.076118	0.061324	0.086736	0.070585
.	0.073223	0.096769	0.077828	0.090101	0.099987	0.078928	0.083516	0.105088	0.087417	0.074785	0.072883	0.059475
[SEP]	0.083596	0.075437	0.083323	0.087657	0.113755	0.101326	0.070009	0.084259	0.087881	0.064285	0.079992	0.068480
