TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.068892	0.089404	0.088167	0.103192	0.078690	0.066310	0.073892	0.071846	0.118651	0.079521	0.094112	0.067325
A	0.059275	0.074751	0.053468	0.067308	0.068899	0.093669	0.095501	0.094568	0.122844	0.057109	0.108672	0.103937
person	0.071186	0.058833	0.085757	0.073440	0.073366	0.078500	0.089398	0.072338	0.082990	0.099119	0.108934	0.106140
is	0.067661	0.086931	0.055245	0.088360	0.082544	0.096092	0.081912	0.070313	0.105260	0.068177	0.092341	0.105165
training	0.080256	0.097654	0.078258	0.100732	0.090364	0.086941	0.091258	0.060000	0.082290	0.061280	0.090174	0.080793
his	0.059667	0.070013	0.080729	0.081287	0.103526	0.081797	0.101382	0.082068	0.101516	0.074304	0.090461	0.073252
horse	0.064920	0.070034	0.097881	0.097879	0.095171	0.072866	0.072772	0.090173	0.087752	0.070744	0.111324	0.068484
for	0.082424	0.066957	0.078841	0.092198	0.080341	0.078641	0.089840	0.070011	0.113028	0.061027	0.112585	0.074107
a	0.049466	0.065848	0.082594	0.095819	0.077174	0.084637	0.088541	0.111623	0.079542	0.074406	0.079609	0.110742
competition	0.074245	0.072751	0.080381	0.084029	0.072737	0.139938	0.064002	0.070048	0.091061	0.075009	0.095693	0.080107
.	0.062450	0.084720	0.061798	0.080438	0.083449	0.112911	0.066231	0.078824	0.112787	0.081967	0.091231	0.083194
[SEP]	0.085565	0.096756	0.072201	0.089347	0.103806	0.082345	0.085494	0.066073	0.071543	0.065529	0.099245	0.082098
