TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.100796	0.108377	0.073959	0.075964	0.080761	0.090125	0.093978	0.068681	0.076728	0.085391	0.091278	0.053963
A	0.113222	0.086596	0.065967	0.101113	0.071070	0.078861	0.078963	0.094693	0.050420	0.097144	0.094455	0.067494
person	0.112138	0.087705	0.075521	0.074646	0.099029	0.069591	0.087152	0.079010	0.068189	0.092323	0.094012	0.060684
is	0.090109	0.088091	0.070476	0.076250	0.058983	0.076067	0.087835	0.079431	0.072729	0.114167	0.101666	0.084196
training	0.091953	0.093615	0.081687	0.069214	0.065539	0.081381	0.091404	0.065565	0.081704	0.100134	0.095742	0.082061
his	0.098526	0.089798	0.076350	0.060006	0.076962	0.086835	0.098237	0.098264	0.054268	0.098847	0.093167	0.068738
horse	0.108244	0.086609	0.094464	0.067815	0.046856	0.098030	0.100861	0.099682	0.066691	0.088371	0.088883	0.053494
for	0.087719	0.098295	0.081695	0.079456	0.073664	0.083681	0.113835	0.085944	0.059819	0.084194	0.081749	0.069947
a	0.084555	0.081234	0.061068	0.068616	0.082323	0.092413	0.097731	0.080250	0.079053	0.104597	0.103640	0.064522
competition	0.120783	0.064898	0.082586	0.052719	0.086303	0.113241	0.088082	0.092160	0.060409	0.080457	0.092204	0.066158
.	0.094955	0.076150	0.082345	0.063332	0.062807	0.087452	0.075155	0.101095	0.089965	0.107335	0.084399	0.075011
[SEP]	0.094368	0.076134	0.074787	0.072399	0.082231	0.084816	0.095278	0.095833	0.068432	0.090971	0.085615	0.079136
