TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.078621	0.061842	0.068501	0.107282	0.085308	0.077002	0.079494	0.083204	0.082157	0.083456	0.081800	0.111333
A	0.101736	0.071179	0.098273	0.082891	0.098961	0.051686	0.075749	0.061161	0.071072	0.104793	0.095292	0.087207
person	0.071486	0.097156	0.085936	0.052731	0.108372	0.060261	0.087269	0.077862	0.075772	0.093492	0.080086	0.109576
is	0.085649	0.095870	0.088128	0.082419	0.098651	0.076536	0.079684	0.078068	0.075513	0.085288	0.072627	0.081567
training	0.054859	0.115360	0.073989	0.090270	0.070236	0.073276	0.102896	0.074370	0.076537	0.080348	0.088235	0.099624
his	0.073135	0.065582	0.098659	0.070061	0.105858	0.077145	0.055939	0.084623	0.090534	0.106215	0.066205	0.106045
horse	0.100171	0.096958	0.063222	0.054865	0.105901	0.069248	0.068279	0.065149	0.073694	0.111552	0.092652	0.098310
for	0.085741	0.085529	0.087157	0.074246	0.096207	0.061991	0.085994	0.058200	0.062533	0.132565	0.089375	0.080462
a	0.084897	0.115798	0.086768	0.052421	0.132878	0.044502	0.066089	0.054064	0.114787	0.089756	0.054396	0.103646
competition	0.081229	0.093266	0.099530	0.081349	0.091057	0.059975	0.091320	0.067373	0.073660	0.096953	0.083063	0.081224
.	0.081745	0.098135	0.083058	0.056843	0.121730	0.053499	0.083136	0.067286	0.104883	0.105765	0.060537	0.083382
[SEP]	0.092010	0.072252	0.083209	0.089794	0.082558	0.056167	0.076286	0.060668	0.100483	0.116992	0.082015	0.087566
