TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.073688	0.081240	0.063065	0.088584	0.071263	0.056646	0.092877	0.112688	0.088282	0.090254	0.106925	0.074487
A	0.057403	0.117220	0.061998	0.076064	0.133447	0.071825	0.112089	0.069098	0.098030	0.083854	0.044523	0.074449
person	0.081123	0.103587	0.111027	0.089290	0.059580	0.064650	0.083240	0.067223	0.060451	0.096758	0.097159	0.085912
is	0.075094	0.056505	0.093287	0.127845	0.062759	0.092736	0.060495	0.099527	0.090542	0.083304	0.093105	0.064800
training	0.089854	0.077524	0.064912	0.091472	0.068566	0.075377	0.080442	0.089359	0.099071	0.094285	0.091476	0.077661
his	0.072264	0.065533	0.063165	0.096044	0.054106	0.121237	0.058794	0.092911	0.083283	0.093295	0.130373	0.068993
horse	0.116373	0.106010	0.062499	0.089685	0.077672	0.055724	0.063414	0.078103	0.109609	0.068029	0.091717	0.081165
for	0.087498	0.110282	0.067588	0.092705	0.046836	0.096967	0.070771	0.107031	0.093482	0.086147	0.076322	0.064370
a	0.083156	0.079146	0.092853	0.141081	0.059370	0.084702	0.061682	0.082807	0.077506	0.087197	0.092386	0.058115
competition	0.069501	0.059674	0.098162	0.150896	0.051373	0.082874	0.061865	0.066493	0.081251	0.129347	0.092821	0.055743
.	0.080558	0.086110	0.076333	0.107587	0.055428	0.077472	0.066632	0.101976	0.143896	0.068522	0.072330	0.063157
[SEP]	0.094744	0.096034	0.065174	0.102253	0.049977	0.064908	0.080850	0.083661	0.107801	0.080677	0.118569	0.055353
