TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.096324	0.059148	0.109529	0.085144	0.074654	0.091346	0.071576	0.077698	0.075502	0.074906	0.088812	0.095362
A	0.075822	0.096318	0.097038	0.113017	0.074093	0.088124	0.074471	0.077952	0.065383	0.083026	0.085135	0.069622
person	0.095571	0.078976	0.101527	0.097717	0.081978	0.100381	0.073027	0.058991	0.068085	0.069684	0.110521	0.063543
is	0.079526	0.088193	0.093892	0.097895	0.079936	0.103473	0.058538	0.074861	0.083992	0.069038	0.088912	0.081744
training	0.077462	0.083933	0.115034	0.095506	0.059465	0.094457	0.079087	0.074285	0.067564	0.106997	0.080891	0.065319
his	0.090208	0.076158	0.107255	0.091316	0.082400	0.109080	0.063806	0.057200	0.055908	0.093843	0.086772	0.086053
horse	0.093229	0.082325	0.084548	0.083198	0.089218	0.099620	0.072462	0.072211	0.075201	0.074326	0.084938	0.088724
for	0.077767	0.092214	0.099166	0.088306	0.079067	0.106758	0.061478	0.071803	0.074389	0.086015	0.083696	0.079340
a	0.077135	0.087147	0.134344	0.095405	0.066192	0.109264	0.088442	0.066456	0.057922	0.077881	0.083331	0.056479
competition	0.050641	0.121755	0.110478	0.091296	0.067016	0.101384	0.057547	0.080981	0.066546	0.105480	0.068293	0.078583
.	0.085776	0.078830	0.094853	0.096871	0.081759	0.100261	0.078982	0.093943	0.053900	0.060915	0.090650	0.083260
[SEP]	0.076054	0.090645	0.116678	0.089958	0.064820	0.091715	0.084779	0.078402	0.069953	0.093297	0.071958	0.071742
