TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.070031	0.100035	0.082201	0.066212	0.066756	0.058924	0.118120	0.117451	0.058537	0.097947	0.089041	0.074745
A	0.077929	0.125358	0.085516	0.071442	0.085687	0.099743	0.103871	0.083634	0.056418	0.083011	0.063807	0.063583
person	0.068947	0.072901	0.080255	0.107382	0.099446	0.071871	0.064797	0.070257	0.098068	0.115450	0.081684	0.068941
is	0.087148	0.110121	0.072012	0.100358	0.088789	0.089481	0.088323	0.065901	0.087624	0.088759	0.045180	0.076305
training	0.120189	0.129479	0.071731	0.075766	0.092955	0.065591	0.077459	0.070962	0.064344	0.088809	0.097899	0.044816
his	0.097761	0.087204	0.091440	0.080464	0.070247	0.112837	0.120345	0.061591	0.064170	0.085324	0.060711	0.067906
horse	0.072193	0.119672	0.070435	0.063759	0.093566	0.102162	0.075988	0.075573	0.084048	0.089767	0.078630	0.074207
for	0.069024	0.078782	0.060892	0.095165	0.114470	0.074319	0.090692	0.075553	0.083020	0.096345	0.081473	0.080266
a	0.084682	0.118352	0.075051	0.120643	0.086530	0.093425	0.069886	0.065988	0.089893	0.083083	0.066935	0.045531
competition	0.073084	0.104806	0.080697	0.067523	0.127506	0.110575	0.081887	0.064072	0.050817	0.093426	0.090443	0.055165
.	0.063791	0.128202	0.058197	0.096571	0.091464	0.099476	0.086457	0.089308	0.067849	0.086560	0.073595	0.058530
[SEP]	0.114799	0.123116	0.082271	0.073314	0.079623	0.074687	0.093946	0.074346	0.074114	0.091967	0.074623	0.043195
