TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.070293	0.123132	0.051913	0.064533	0.064896	0.091574	0.072718	0.113850	0.098960	0.083173	0.094323	0.070636
A	0.072766	0.080079	0.058368	0.076588	0.114133	0.156051	0.085441	0.062664	0.071706	0.067534	0.074190	0.080481
person	0.075770	0.099343	0.049289	0.069777	0.072260	0.101221	0.068053	0.131094	0.079113	0.077991	0.107882	0.068207
is	0.057724	0.077740	0.105791	0.073748	0.083160	0.121640	0.083906	0.108443	0.061538	0.072544	0.079682	0.074085
training	0.059347	0.089872	0.060341	0.097994	0.094040	0.092144	0.090209	0.083978	0.089304	0.072903	0.099462	0.070406
his	0.079449	0.091300	0.093807	0.066193	0.104860	0.093529	0.065479	0.080099	0.085273	0.068048	0.092860	0.079102
horse	0.069283	0.066022	0.065174	0.083059	0.099227	0.087977	0.088414	0.085684	0.070820	0.102667	0.090737	0.090937
for	0.108440	0.099573	0.070208	0.072101	0.071212	0.115406	0.070498	0.090380	0.089785	0.063683	0.081730	0.066985
a	0.086898	0.099257	0.064686	0.063557	0.108339	0.083442	0.078956	0.103442	0.066800	0.081542	0.098515	0.064566
competition	0.079594	0.094970	0.045420	0.059041	0.106341	0.103423	0.073497	0.088875	0.115356	0.073059	0.094635	0.065790
.	0.075593	0.106533	0.095533	0.064577	0.080851	0.073918	0.063243	0.105708	0.080665	0.081124	0.085173	0.087082
[SEP]	0.073629	0.087731	0.078660	0.092381	0.089754	0.128719	0.073724	0.068228	0.070846	0.078340	0.091588	0.066400
