TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.100445	0.070895	0.056843	0.110302	0.094891	0.093874	0.064624	0.081725	0.087469	0.067033	0.088014	0.083885
A	0.076361	0.080980	0.094242	0.089033	0.095519	0.092727	0.050540	0.079698	0.067993	0.058089	0.135705	0.079113
person	0.076812	0.080122	0.055745	0.094007	0.100237	0.084168	0.079129	0.065811	0.087752	0.089290	0.088263	0.098665
is	0.091041	0.078779	0.075256	0.065268	0.092426	0.103362	0.060267	0.109822	0.063373	0.083639	0.082872	0.093893
training	0.079819	0.105791	0.077765	0.079230	0.081779	0.077817	0.060392	0.087754	0.071765	0.101369	0.084769	0.091749
his	0.094297	0.082679	0.077692	0.088958	0.104472	0.087402	0.084289	0.064306	0.071464	0.073389	0.096166	0.074886
horse	0.084399	0.089947	0.106872	0.079944	0.061396	0.095412	0.073676	0.082951	0.109228	0.089711	0.052207	0.074256
for	0.108589	0.080204	0.097805	0.067952	0.062358	0.128937	0.063876	0.102230	0.055346	0.076944	0.076850	0.078909
a	0.066818	0.073445	0.097237	0.075363	0.095514	0.105917	0.068399	0.061603	0.094906	0.106793	0.072355	0.081650
competition	0.101008	0.066255	0.083658	0.077675	0.077334	0.116510	0.065043	0.086530	0.071168	0.056942	0.111526	0.086352
.	0.092467	0.095135	0.079110	0.086575	0.083237	0.108894	0.077219	0.070135	0.083250	0.088399	0.074545	0.061035
[SEP]	0.088040	0.084480	0.085582	0.098080	0.070067	0.103825	0.058916	0.092111	0.087887	0.065268	0.098290	0.067453
