TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.105685	0.046595	0.089371	0.074290	0.085624	0.154369	0.117664	0.050020	0.068593	0.050880	0.077532	0.079377
A	0.139295	0.056771	0.063456	0.134522	0.080949	0.080583	0.056049	0.094001	0.065669	0.079956	0.067579	0.081171
person	0.077216	0.045161	0.057772	0.101651	0.108546	0.116771	0.112829	0.064247	0.063009	0.088854	0.070726	0.093216
is	0.110401	0.051206	0.042356	0.120620	0.095674	0.111928	0.086331	0.071737	0.078275	0.077674	0.060237	0.093562
training	0.093391	0.067691	0.089294	0.125022	0.077093	0.094429	0.090387	0.081846	0.075593	0.057909	0.088897	0.058447
his	0.093756	0.066183	0.067477	0.106924	0.078358	0.108730	0.100050	0.084232	0.066660	0.083947	0.066542	0.077141
horse	0.112534	0.080699	0.081585	0.094919	0.070720	0.094621	0.069250	0.083946	0.060935	0.074456	0.091854	0.084480
for	0.072582	0.072504	0.071357	0.097872	0.095585	0.080951	0.070854	0.100015	0.074970	0.102697	0.095047	0.065567
a	0.128748	0.057049	0.086091	0.113995	0.087843	0.110392	0.078007	0.081339	0.064601	0.078469	0.060409	0.053056
competition	0.097679	0.053493	0.049282	0.082849	0.113864	0.113334	0.092302	0.109112	0.082059	0.070723	0.068365	0.066938
.	0.095644	0.047600	0.069508	0.099766	0.084062	0.110772	0.110662	0.077151	0.067247	0.062081	0.082638	0.092869
[SEP]	0.066750	0.061436	0.070527	0.081353	0.087860	0.123499	0.105613	0.089839	0.066690	0.083800	0.084876	0.077757
