TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.057024	0.093554	0.087922	0.098992	0.082803	0.068846	0.076756	0.062152	0.138353	0.100191	0.079543	0.053863
A	0.071263	0.092983	0.079530	0.075008	0.082951	0.095572	0.066944	0.077325	0.130672	0.105358	0.074765	0.047630
person	0.070761	0.096612	0.102798	0.074416	0.103383	0.066617	0.070156	0.090764	0.109440	0.072124	0.092182	0.050746
is	0.068885	0.102507	0.098688	0.082516	0.093252	0.074217	0.080997	0.067414	0.118050	0.071264	0.097124	0.045084
training	0.074165	0.081111	0.111578	0.100743	0.082411	0.071799	0.069276	0.055032	0.132169	0.086781	0.079949	0.054987
his	0.066205	0.087490	0.076458	0.086357	0.083983	0.080928	0.080002	0.060859	0.111765	0.114928	0.086206	0.064818
horse	0.081500	0.101902	0.095593	0.088719	0.101225	0.066850	0.066191	0.057006	0.111941	0.080418	0.093969	0.054686
for	0.059834	0.074577	0.082502	0.062612	0.092005	0.078174	0.082791	0.064211	0.138167	0.099957	0.094644	0.070526
a	0.056970	0.109007	0.087933	0.090051	0.089504	0.068758	0.089826	0.076069	0.096204	0.098965	0.075468	0.061245
competition	0.081365	0.088933	0.127802	0.080688	0.075594	0.082260	0.084445	0.064699	0.095544	0.084881	0.088943	0.044847
.	0.060760	0.107856	0.118258	0.091410	0.084152	0.051757	0.066180	0.047647	0.135747	0.104116	0.079733	0.052385
[SEP]	0.063175	0.074707	0.128719	0.077042	0.091506	0.067433	0.067176	0.060207	0.121736	0.095116	0.087975	0.065208
