TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.060573	0.088491	0.122491	0.069281	0.069464	0.082680	0.086464	0.101264	0.077359	0.095561	0.089895	0.056479
A	0.082749	0.100251	0.122622	0.083055	0.050580	0.076845	0.074267	0.099971	0.076632	0.090003	0.066955	0.076070
person	0.066869	0.101601	0.106589	0.102635	0.070914	0.099105	0.079570	0.092741	0.073853	0.077579	0.066256	0.062289
is	0.055292	0.065350	0.110222	0.072047	0.091541	0.073584	0.078792	0.100567	0.085676	0.088278	0.061017	0.117635
training	0.048164	0.069189	0.095724	0.076502	0.060597	0.114248	0.069799	0.133825	0.056988	0.098887	0.090845	0.085231
his	0.052792	0.070197	0.091028	0.110470	0.075332	0.093253	0.059957	0.120091	0.059437	0.124630	0.060575	0.082238
horse	0.056878	0.091210	0.120290	0.080802	0.064445	0.098487	0.079686	0.092164	0.070456	0.094303	0.077253	0.074027
for	0.070717	0.103953	0.118722	0.070211	0.063469	0.076149	0.087807	0.086385	0.092412	0.099180	0.073081	0.057914
a	0.060793	0.093064	0.070519	0.081641	0.082824	0.095890	0.090779	0.112974	0.079703	0.087803	0.065052	0.078959
competition	0.061534	0.094206	0.071161	0.087535	0.065701	0.096561	0.073644	0.100883	0.078311	0.111093	0.079072	0.080301
.	0.062463	0.075777	0.082320	0.082790	0.053710	0.072124	0.085776	0.091908	0.066890	0.154484	0.079755	0.092004
[SEP]	0.070131	0.076903	0.103482	0.079227	0.069443	0.090353	0.081156	0.093679	0.073735	0.126855	0.072241	0.062794
