TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.094655	0.126563	0.087504	0.056292	0.072995	0.084790	0.102324	0.066827	0.092935	0.042114	0.075524	0.097478
A	0.071683	0.072972	0.092154	0.077712	0.099673	0.095954	0.105567	0.070034	0.062492	0.071221	0.083123	0.097414
person	0.064997	0.085218	0.093070	0.070549	0.072344	0.118858	0.098033	0.056393	0.072673	0.068384	0.082639	0.116842
is	0.088464	0.117564	0.079701	0.085642	0.086394	0.069081	0.119231	0.054495	0.079003	0.053041	0.086686	0.080698
training	0.117019	0.087415	0.125325	0.081407	0.071832	0.081074	0.082436	0.051635	0.088828	0.078102	0.062653	0.072271
his	0.081911	0.085892	0.104174	0.085331	0.084996	0.090814	0.075252	0.054174	0.074385	0.075482	0.093792	0.093796
horse	0.069180	0.100824	0.071446	0.103667	0.068655	0.101181	0.116428	0.061410	0.080241	0.070734	0.072810	0.083422
for	0.086132	0.059035	0.083958	0.069140	0.104235	0.088905	0.102328	0.065058	0.086064	0.092257	0.087584	0.075304
a	0.099009	0.088218	0.075638	0.083965	0.088751	0.065127	0.157610	0.062326	0.087430	0.041812	0.072312	0.077803
competition	0.071991	0.093291	0.093842	0.088669	0.078644	0.097502	0.089566	0.062777	0.075088	0.067118	0.103658	0.077854
.	0.073479	0.094270	0.076509	0.069001	0.086778	0.088645	0.110387	0.061918	0.076752	0.053761	0.064631	0.143869
[SEP]	0.099864	0.080919	0.092740	0.074102	0.076416	0.099492	0.113218	0.051911	0.076029	0.074110	0.084217	0.076983
